project_id,phase_id,trade,subcontractor,est_hours,act_hours,hourly_rate,safety_incidents
1006,5,Electrical,Electrical Co,699,665,107,0
1007,1,Plumbing,Plumbing Co,149,140,64,0
1007,1,Carpentry,Carpentry Co,149,138,78,1
1007,2,Carpentry,Carpentry Co,299,282,82,1
1007,2,Steel Erection,Steel Erection Co,299,327,106,0
1007,3,Finishes,Finishes Co,404,439,97,0
1007,3,Excavation,Excavation Co,404,379,78,0
1007,4,Steel Erection,Steel Erection Co,299,310,82,0
1007,4,Carpentry,Carpentry Co,299,275,80,0
1007,5,Plumbing,Plumbing Co,344,358,101,1
1007,5,Excavation,Excavation Co,344,377,108,1
1008,1,Concrete,Concrete Co,132,124,99,1
1008,1,Plumbing,Plumbing Co,132,119,95,0
1008,2,HVAC,HVAC Co,264,270,56,1
1008,2,Excavation,Excavation Co,264,289,104,0
1008,3,Plumbing,Plumbing Co,357,386,60,0
1008,3,Excavation,Excavation Co,357,364,61,0
1008,4,HVAC,HVAC Co,264,281,106,0
1008,4,Carpentry,Carpentry Co,264,281,105,0
1008,5,Finishes,Finishes Co,304,320,50,0
1008,5,HVAC,HVAC Co,304,291,98,0
1009,1,Concrete,Concrete Co,81,87,58,0
1009,1,Electrical,Electrical Co,81,78,95,2
1009,2,Electrical,Electrical Co,162,160,68,0
1009,2,HVAC,HVAC Co,162,171,93,2
1009,3,Electrical,Electrical Co,219,233,95,0
1009,3,Steel Erection,Steel Erection Co,219,204,98,0
1009,4,Electrical,Electrical Co,162,157,74,0
1009,4,HVAC,HVAC Co,162,169,51,0
1009,5,Excavation,Excavation Co,187,189,89,0
1009,5,Finishes,Finishes Co,187,190,76,1
1010,1,Excavation,Excavation Co,212,198,68,0
1010,1,Steel Erection,Steel Erection Co,212,229,56,0
1010,2,Steel Erection,Steel Erection Co,424,402,55,0
1010,2,Electrical,Electrical Co,424,381,81,0
1010,3,HVAC,HVAC Co,573,568,68,1
1010,3,Concrete,Concrete Co,573,525,65,0
1010,4,Electrical,Electrical Co,424,429,86,0
1010,4,Steel Erection,Steel Erection Co,424,410,69,1
1010,5,Finishes,Finishes Co,488,468,66,0
1010,5,Concrete,Concrete Co,488,529,64,0
1011,1,Steel Erection,Steel Erection Co,487,492,102,0
1011,1,Concrete,Concrete Co,487,486,80,0
1011,2,HVAC,HVAC Co,975,902,84,0
1011,2,Steel Erection,Steel Erection Co,975,989,93,0
1011,3,Carpentry,Carpentry Co,1316,1221,57,1
1011,3,Excavation,Excavation Co,1316,1273,93,0
1011,4,Concrete,Concrete Co,975,917,80,0
1011,4,Finishes,Finishes Co,975,1056,105,0
1011,5,Finishes,Finishes Co,1121,1044,63,0
1011,5,Electrical,Electrical Co,1121,1020,53,0
1012,1,Steel Erection,Steel Erection Co,245,256,102,0
1012,1,HVAC,HVAC Co,245,240,56,0
1012,2,Plumbing,Plumbing Co,491,465,108,1
1012,2,HVAC,HVAC Co,491,525,103,0
1012,3,Finishes,Finishes Co,664,663,89,0
1012,3,Electrical,Electrical Co,664,685,100,1
1012,4,Steel Erection,Steel Erection Co,491,488,80,1
1012,4,Plumbing,Plumbing Co,491,476,95,1
1012,5,Finishes,Finishes Co,565,611,103,0
1012,5,HVAC,HVAC Co,565,593,50,0
1013,1,Steel Erection,Steel Erection Co,208,205,105,0
1013,1,Electrical,Electrical Co,208,207,108,0
1013,2,Plumbing,Plumbing Co,416,374,66,0
1013,2,Carpentry,Carpentry Co,416,382,95,0
1013,3,Steel Erection,Steel Erection Co,562,571,87,0
1013,3,Concrete,Concrete Co,562,560,50,0
1013,4,Carpentry,Carpentry Co,416,453,101,0
1013,4,Steel Erection,Steel Erection Co,416,425,75,0
1013,5,Steel Erection,Steel Erection Co,479,507,109,0
1013,5,Plumbing,Plumbing Co,479,465,59,0
1014,1,Plumbing,Plumbing Co,53,54,95,0
1014,1,Excavation,Excavation Co,53,48,65,0
1014,2,HVAC,HVAC Co,107,116,52,0
1014,2,Plumbing,Plumbing Co,107,117,96,0
1014,3,Plumbing,Plumbing Co,144,151,60,1
1014,3,Carpentry,Carpentry Co,144,131,57,0
1014,4,Steel Erection,Steel Erection Co,107,99,77,0
1014,4,Concrete,Concrete Co,107,111,73,0
1014,5,Electrical,Electrical Co,123,121,93,1
1014,5,Excavation,Excavation Co,123,114,97,0
1015,1,Finishes,Finishes Co,164,168,92,1
1015,1,HVAC,HVAC Co,164,176,105,0
1015,2,Finishes,Finishes Co,328,300,62,0
1015,2,Electrical,Electrical Co,328,332,70,0
1015,3,Concrete,Concrete Co,443,466,53,0
1015,3,Excavation,Excavation Co,443,405,66,1
1015,4,Finishes,Finishes Co,328,309,81,1
1015,4,HVAC,HVAC Co,328,295,109,1
1015,5,Plumbing,Plumbing Co,378,409,74,1
1015,5,HVAC,HVAC Co,378,402,50,0
1016,1,Finishes,Finishes Co,58,57,102,0
1016,1,Electrical,Electrical Co,58,59,54,0
1016,2,Excavation,Excavation Co,116,113,73,0
1016,2,Concrete,Concrete Co,116,119,103,1
1016,3,Electrical,Electrical Co,156,142,108,0
1016,3,Finishes,Finishes Co,156,165,97,3
1016,4,Excavation,Excavation Co,116,118,87,0
1016,4,Carpentry,Carpentry Co,116,108,104,0
1016,5,Electrical,Electrical Co,133,146,94,0
1016,5,Finishes,Finishes Co,133,126,79,0
1017,1,Excavation,Excavation Co,355,380,71,0
1017,1,Carpentry,Carpentry Co,355,335,85,0
1017,2,Carpentry,Carpentry Co,710,696,88,1
1017,2,Excavation,Excavation Co,710,765,55,0
1017,3,Plumbing,Plumbing Co,959,984,89,0
1017,3,Concrete,Concrete Co,959,939,89,0
1017,4,Carpentry,Carpentry Co,710,659,74,0
1017,4,HVAC,HVAC Co,710,685,65,0
1017,5,Electrical,Electrical Co,817,786,51,1
1017,5,Plumbing,Plumbing Co,817,812,94,0
1018,1,Concrete,Concrete Co,82,79,99,0
1018,1,Plumbing,Plumbing Co,82,74,103,0
1018,2,Plumbing,Plumbing Co,165,150,60,0
1018,2,Excavation,Excavation Co,165,181,63,0
1018,3,Electrical,Electrical Co,223,231,57,0
1018,3,Excavation,Excavation Co,223,214,83,0
1018,4,Carpentry,Carpentry Co,165,151,70,1
1018,4,Electrical,Electrical Co,165,159,84,0
1018,5,Concrete,Concrete Co,190,189,60,0
1018,5,Electrical,Electrical Co,190,186,80,1
1019,1,Steel Erection,Steel Erection Co,71,74,92,0
1019,1,Electrical,Electrical Co,71,64,64,0
1019,2,Electrical,Electrical Co,142,128,75,0
1019,2,HVAC,HVAC Co,142,128,67,0
1019,3,Steel Erection,Steel Erection Co,191,179,66,2
1019,3,Plumbing,Plumbing Co,191,205,57,0
1019,4,Carpentry,Carpentry Co,142,136,80,1
1019,4,Plumbing,Plumbing Co,142,130,102,0
1019,5,Concrete,Concrete Co,163,159,66,0
1019,5,Electrical,Electrical Co,163,168,75,0
1020,1,Electrical,Electrical Co,150,148,86,0
1020,1,Plumbing,Plumbing Co,150,154,95,0
1020,2,Steel Erection,Steel Erection Co,300,270,56,1
1020,2,Carpentry,Carpentry Co,300,296,57,1
1020,3,Carpentry,Carpentry Co,406,397,73,0
1020,3,Electrical,Electrical Co,406,422,80,0
1020,4,Finishes,Finishes Co,300,274,58,0
1020,4,Steel Erection,Steel Erection Co,300,312,109,0
1020,5,HVAC,HVAC Co,346,374,83,1
1020,5,Steel Erection,Steel Erection Co,346,330,99,0
1021,1,Excavation,Excavation Co,460,462,109,2
1021,1,Plumbing,Plumbing Co,460,504,75,0
1021,2,Electrical,Electrical Co,921,848,62,0
1021,2,Steel Erection,Steel Erection Co,921,915,97,0
1021,3,Concrete,Concrete Co,1244,1289,67,0
1021,3,Finishes,Finishes Co,1244,1166,72,0
1021,4,Electrical,Electrical Co,921,879,103,0
1021,4,Excavation,Excavation Co,921,903,69,1
1021,5,Concrete,Concrete Co,1060,1034,60,1
1021,5,HVAC,HVAC Co,1060,1163,100,0
1022,1,Electrical,Electrical Co,450,476,85,0
1022,1,Concrete,Concrete Co,450,432,103,0
1022,2,Excavation,Excavation Co,901,927,100,0
1022,2,Carpentry,Carpentry Co,901,942,53,1
1022,3,Concrete,Concrete Co,1216,1190,103,0
1022,3,HVAC,HVAC Co,1216,1279,96,0
1022,4,Finishes,Finishes Co,901,816,50,2
1022,4,Electrical,Electrical Co,901,854,51,1
1022,5,Steel Erection,Steel Erection Co,1036,1135,90,1
1022,5,Plumbing,Plumbing Co,1036,1031,91,0
1023,1,Steel Erection,Steel Erection Co,444,453,89,0
1023,1,Finishes,Finishes Co,444,406,81,0
1023,2,Finishes,Finishes Co,888,809,80,0
1023,2,Steel Erection,Steel Erection Co,888,837,84,1
1023,3,Steel Erection,Steel Erection Co,1198,1212,66,0
1023,3,Concrete,Concrete Co,1198,1247,79,0
1023,4,Finishes,Finishes Co,888,939,108,0
1023,4,Steel Erection,Steel Erection Co,888,840,63,2
1023,5,HVAC,HVAC Co,1021,1097,72,1
1023,5,Plumbing,Plumbing Co,1021,920,80,1
1024,1,Steel Erection,Steel Erection Co,254,262,62,1
1024,1,Electrical,Electrical Co,254,234,94,0
1024,2,Electrical,Electrical Co,508,459,50,0
1024,2,Plumbing,Plumbing Co,508,495,50,1
1024,3,Electrical,Electrical Co,686,718,54,0
1024,3,Plumbing,Plumbing Co,686,661,109,0
1024,4,Excavation,Excavation Co,508,532,87,0
1024,4,Plumbing,Plumbing Co,508,534,57,0
1024,5,HVAC,HVAC Co,584,550,106,0
1024,5,Finishes,Finishes Co,584,586,74,0
1025,1,Excavation,Excavation Co,139,129,62,0
1025,1,Plumbing,Plumbing Co,139,136,73,1
1025,2,Finishes,Finishes Co,279,264,88,0
1025,2,Carpentry,Carpentry Co,279,280,74,0
1025,3,Electrical,Electrical Co,376,392,80,0
1025,3,Concrete,Concrete Co,376,371,62,0
1025,4,Electrical,Electrical Co,279,292,107,0
1025,4,Plumbing,Plumbing Co,279,258,106,1
1025,5,Steel Erection,Steel Erection Co,321,346,108,0
1025,5,Excavation,Excavation Co,321,299,50,0
1026,1,Concrete,Concrete Co,314,321,88,0
1026,1,Electrical,Electrical Co,314,282,51,0
1026,2,Electrical,Electrical Co,628,610,58,0
1026,2,Excavation,Excavation Co,628,567,76,1
1026,3,Plumbing,Plumbing Co,848,816,109,0
1026,3,Concrete,Concrete Co,848,829,66,0
1026,4,Electrical,Electrical Co,628,582,96,1
1026,4,Plumbing,Plumbing Co,628,673,84,0
1026,5,Excavation,Excavation Co,723,742,86,0
1026,5,HVAC,HVAC Co,723,758,87,0
1027,1,Plumbing,Plumbing Co,304,279,91,0
1027,1,Finishes,Finishes Co,304,301,52,0
1027,2,Excavation,Excavation Co,608,646,76,0
1027,2,Finishes,Finishes Co,608,648,56,1
1027,3,Excavation,Excavation Co,820,877,100,0
1027,3,HVAC,HVAC Co,820,764,91,0
1027,4,Steel Erection,Steel Erection Co,608,617,65,0
1027,4,Excavation,Excavation Co,608,649,87,1
1027,5,HVAC,HVAC Co,699,752,96,0
1027,5,Steel Erection,Steel Erection Co,699,635,101,0
1028,1,Plumbing,Plumbing Co,338,321,65,0
1028,1,Electrical,Electrical Co,338,339,70,0
1028,2,Plumbing,Plumbing Co,676,664,80,0
1028,2,Finishes,Finishes Co,676,691,51,1
1028,3,Steel Erection,Steel Erection Co,912,944,109,0
1028,3,HVAC,HVAC Co,912,931,61,0
1028,4,Excavation,Excavation Co,676,704,65,0
1028,4,Finishes,Finishes Co,676,687,90,0
1028,5,Carpentry,Carpentry Co,777,786,104,0
1028,5,Electrical,Electrical Co,777,774,66,0
1029,1,Carpentry,Carpentry Co,413,374,63,1
1029,1,Excavation,Excavation Co,413,441,78,1
1029,2,Electrical,Electrical Co,827,812,72,2
1029,2,Excavation,Excavation Co,827,762,78,1
1029,3,Steel Erection,Steel Erection Co,1117,1127,61,0
1029,3,HVAC,HVAC Co,1117,1100,66,0
1029,4,Finishes,Finishes Co,827,813,76,0
1029,4,Electrical,Electrical Co,827,869,107,0
1029,5,Steel Erection,Steel Erection Co,952,1042,63,0
1029,5,HVAC,HVAC Co,952,894,87,0
1030,1,Electrical,Electrical Co,397,363,97,1
1030,1,Excavation,Excavation Co,397,372,53,0
1030,2,Carpentry,Carpentry Co,795,840,50,0
1030,2,Plumbing,Plumbing Co,795,870,60,1
1030,3,Concrete,Concrete Co,1074,1113,105,0
1030,3,Steel Erection,Steel Erection Co,1074,1008,99,0
1030,4,HVAC,HVAC Co,795,822,90,0
1030,4,Carpentry,Carpentry Co,795,864,66,0
1030,5,Electrical,Electrical Co,915,838,83,0
1030,5,Plumbing,Plumbing Co,915,958,84,0
1031,1,Finishes,Finishes Co,347,320,94,1
1031,1,Steel Erection,Steel Erection Co,347,347,78,0
1031,2,Carpentry,Carpentry Co,694,715,66,0
1031,2,Finishes,Finishes Co,694,730,77,1
1031,3,Plumbing,Plumbing Co,937,931,69,0
1031,3,Excavation,Excavation Co,937,870,104,0
1031,4,Excavation,Excavation Co,694,652,69,0
1031,4,Concrete,Concrete Co,694,630,76,0
1031,5,Concrete,Concrete Co,798,828,65,0
1031,5,Finishes,Finishes Co,798,818,106,0
1032,1,Carpentry,Carpentry Co,283,281,93,0
1032,1,Finishes,Finishes Co,283,310,91,1
1032,2,Excavation,Excavation Co,567,579,95,0
1032,2,HVAC,HVAC Co,567,541,59,0
1032,3,Plumbing,Plumbing Co,765,800,108,0
1032,3,Finishes,Finishes Co,765,824,55,0
1032,4,HVAC,HVAC Co,567,527,92,0
1032,4,Excavation,Excavation Co,567,596,103,0
1032,5,Finishes,Finishes Co,652,596,56,0
1032,5,Concrete,Concrete Co,652,654,86,0
1033,1,Steel Erection,Steel Erection Co,261,251,79,0
1033,1,Carpentry,Carpentry Co,261,253,92,0
1033,2,Concrete,Concrete Co,523,495,54,0
1033,2,Electrical,Electrical Co,523,537,80,0
1033,3,Electrical,Electrical Co,707,728,60,0
1033,3,Finishes,Finishes Co,707,771,71,2
1033,4,Plumbing,Plumbing Co,523,531,103,1
1033,4,Concrete,Concrete Co,523,554,51,0
1033,5,Excavation,Excavation Co,602,602,80,1
1033,5,HVAC,HVAC Co,602,604,105,0
1034,1,Finishes,Finishes Co,253,262,96,1
1034,1,Plumbing,Plumbing Co,253,266,93,1
1034,2,Plumbing,Plumbing Co,506,486,92,0
1034,2,Steel Erection,Steel Erection Co,506,550,107,1
1034,3,Plumbing,Plumbing Co,683,642,99,0
1034,3,Electrical,Electrical Co,683,652,55,0
1034,4,Plumbing,Plumbing Co,506,492,79,1
1034,4,Excavation,Excavation Co,506,536,79,0
1034,5,Carpentry,Carpentry Co,582,601,82,1
1034,5,Excavation,Excavation Co,582,566,84,1
1035,1,Electrical,Electrical Co,149,162,90,0
1035,1,Steel Erection,Steel Erection Co,149,142,68,1
1035,2,Excavation,Excavation Co,298,288,104,0
1035,2,HVAC,HVAC Co,298,293,52,1
1035,3,Steel Erection,Steel Erection Co,403,367,91,0
1035,3,Excavation,Excavation Co,403,366,71,0
1035,4,Plumbing,Plumbing Co,298,317,70,0
1035,4,HVAC,HVAC Co,298,276,70,0
1035,5,Carpentry,Carpentry Co,343,364,59,1
1035,5,Electrical,Electrical Co,343,345,60,0
1036,1,Steel Erection,Steel Erection Co,149,137,104,1
1036,1,Concrete,Concrete Co,149,138,102,0
1036,2,HVAC,HVAC Co,298,312,72,0
1036,2,Excavation,Excavation Co,298,290,61,0
1036,3,Plumbing,Plumbing Co,403,380,87,0
1036,3,HVAC,HVAC Co,403,365,100,0
1036,4,Electrical,Electrical Co,298,272,89,0
1036,4,Finishes,Finishes Co,298,272,104,1
1036,5,Electrical,Electrical Co,343,341,85,0
1036,5,Plumbing,Plumbing Co,343,359,79,0
1037,1,HVAC,HVAC Co,299,281,69,1
1037,1,Steel Erection,Steel Erection Co,299,275,52,0
1037,2,Concrete,Concrete Co,599,612,71,0
1037,2,Carpentry,Carpentry Co,599,602,52,0
1037,3,Finishes,Finishes Co,808,777,106,0
1037,3,Excavation,Excavation Co,808,851,71,0
1037,4,HVAC,HVAC Co,599,637,69,0
1037,4,Steel Erection,Steel Erection Co,599,541,57,1
1037,5,Carpentry,Carpentry Co,689,651,109,1
1037,5,HVAC,HVAC Co,689,721,68,1
1038,1,Carpentry,Carpentry Co,334,341,105,1
1038,1,Concrete,Concrete Co,334,355,85,0
1038,2,Carpentry,Carpentry Co,668,641,84,0
1038,2,Electrical,Electrical Co,668,668,51,0
1038,3,Concrete,Concrete Co,902,891,102,0
1038,3,Plumbing,Plumbing Co,902,913,65,0
1038,4,Excavation,Excavation Co,668,605,74,1
1038,4,Concrete,Concrete Co,668,732,61,0
1038,5,Electrical,Electrical Co,768,742,62,0
1038,5,Steel Erection,Steel Erection Co,768,694,62,0
1039,1,Steel Erection,Steel Erection Co,215,235,78,0
1039,1,HVAC,HVAC Co,215,206,92,0
1039,2,Electrical,Electrical Co,431,437,90,1
1039,2,HVAC,HVAC Co,431,440,60,0
1039,3,Electrical,Electrical Co,583,624,90,0
1039,3,Plumbing,Plumbing Co,583,557,94,0
1039,4,Finishes,Finishes Co,431,461,64,0
1039,4,Electrical,Electrical Co,431,414,74,0
1039,5,Finishes,Finishes Co,496,543,83,0
1039,5,Carpentry,Carpentry Co,496,515,81,0
1040,1,Steel Erection,Steel Erection Co,470,445,67,0
1040,1,Carpentry,Carpentry Co,470,469,50,1
1040,2,Concrete,Concrete Co,941,878,87,1
1040,2,Plumbing,Plumbing Co,941,974,102,0
1040,3,Electrical,Electrical Co,1271,1292,63,1
1040,3,Concrete,Concrete Co,1271,1309,105,0
1040,4,Excavation,Excavation Co,941,903,60,0
1040,4,HVAC,HVAC Co,941,957,62,1
1040,5,Excavation,Excavation Co,1082,999,76,1
1040,5,Steel Erection,Steel Erection Co,1082,1037,66,1
1041,1,Excavation,Excavation Co,115,125,81,0
1041,1,Carpentry,Carpentry Co,115,125,86,0
1041,2,Carpentry,Carpentry Co,231,222,70,0
1041,2,Excavation,Excavation Co,231,218,94,0
1041,3,Concrete,Concrete Co,312,303,104,0
1041,3,Plumbing,Plumbing Co,312,340,98,0
1041,4,Excavation,Excavation Co,231,232,70,0
1041,4,Steel Erection,Steel Erection Co,231,234,81,0
1041,5,Steel Erection,Steel Erection Co,265,283,54,1
1041,5,Concrete,Concrete Co,265,276,91,0
1042,1,Steel Erection,Steel Erection Co,189,176,60,0
1042,1,Plumbing,Plumbing Co,189,196,95,0
1042,2,HVAC,HVAC Co,378,347,109,0
1042,2,Excavation,Excavation Co,378,406,94,0
1042,3,Carpentry,Carpentry Co,510,527,62,1
1042,3,Steel Erection,Steel Erection Co,510,474,67,0
1042,4,Finishes,Finishes Co,378,385,103,0
1042,4,Plumbing,Plumbing Co,378,403,88,0
1042,5,Electrical,Electrical Co,435,400,58,0
1042,5,Carpentry,Carpentry Co,435,450,50,0
1043,1,Plumbing,Plumbing Co,446,440,75,1
1043,1,Excavation,Excavation Co,446,469,61,0
1043,2,Steel Erection,Steel Erection Co,893,850,80,0
1043,2,Excavation,Excavation Co,893,816,58,0
1043,3,Steel Erection,Steel Erection Co,1206,1278,65,0
1043,3,HVAC,HVAC Co,1206,1273,68,0
1043,4,HVAC,HVAC Co,893,956,64,0
1043,4,Finishes,Finishes Co,893,875,51,0
1043,5,Concrete,Concrete Co,1027,968,93,0
1043,5,Steel Erection,Steel Erection Co,1027,1023,70,0
1044,1,Electrical,Electrical Co,435,396,63,1
1044,1,HVAC,HVAC Co,435,475,108,0
1044,2,HVAC,HVAC Co,870,933,76,0
1044,2,Concrete,Concrete Co,870,876,88,0
1044,3,Finishes,Finishes Co,1175,1233,95,0
1044,3,Plumbing,Plumbing Co,1175,1132,86,0
1044,4,Concrete,Concrete Co,870,925,87,2
1044,4,Excavation,Excavation Co,870,807,108,1
1044,5,Carpentry,Carpentry Co,1001,1073,78,2
1044,5,Finishes,Finishes Co,1001,1066,86,1
1045,1,Carpentry,Carpentry Co,319,346,67,1
1045,1,HVAC,HVAC Co,319,342,91,0
1045,2,Carpentry,Carpentry Co,639,580,74,0
1045,2,HVAC,HVAC Co,639,614,95,1
1045,3,Finishes,Finishes Co,863,914,61,0
1045,3,Plumbing,Plumbing Co,863,865,107,1
1045,4,HVAC,HVAC Co,639,628,73,0
1045,4,Steel Erection,Steel Erection Co,639,692,58,2
1045,5,Plumbing,Plumbing Co,735,783,69,0
1045,5,Concrete,Concrete Co,735,709,54,0
1046,1,Concrete,Concrete Co,90,90,94,0
1046,1,Finishes,Finishes Co,90,93,103,0
1046,2,Electrical,Electrical Co,181,189,102,0
1046,2,Finishes,Finishes Co,181,169,97,0
1046,3,Excavation,Excavation Co,245,243,78,3
1046,3,Concrete,Concrete Co,245,254,58,1
1046,4,Finishes,Finishes Co,181,192,93,1
1046,4,Excavation,Excavation Co,181,163,66,0
1046,5,Carpentry,Carpentry Co,208,201,84,1
1046,5,Concrete,Concrete Co,208,188,82,1
1047,1,Finishes,Finishes Co,268,243,86,0
1047,1,Plumbing,Plumbing Co,268,263,84,1
1047,2,Concrete,Concrete Co,536,579,54,0
1047,2,Carpentry,Carpentry Co,536,495,103,0
1047,3,Finishes,Finishes Co,724,689,85,0
1047,3,Steel Erection,Steel Erection Co,724,751,101,0
1047,4,Excavation,Excavation Co,536,547,62,0
1047,4,Plumbing,Plumbing Co,536,583,101,1
1047,5,Carpentry,Carpentry Co,617,627,76,0
1047,5,Excavation,Excavation Co,617,596,109,0
1048,1,Steel Erection,Steel Erection Co,451,409,54,0
1048,1,Electrical,Electrical Co,451,418,91,0
1048,2,Plumbing,Plumbing Co,903,899,73,0
1048,2,Excavation,Excavation Co,903,823,83,0
1048,3,HVAC,HVAC Co,1219,1336,97,0
1048,3,Excavation,Excavation Co,1219,1299,104,0
1048,4,HVAC,HVAC Co,903,903,71,0
1048,4,Excavation,Excavation Co,903,956,83,0
1048,5,HVAC,HVAC Co,1038,1128,63,0
1048,5,Electrical,Electrical Co,1038,1001,97,0
1049,1,Concrete,Concrete Co,188,187,108,1
1049,1,Plumbing,Plumbing Co,188,192,51,1
1049,2,Steel Erection,Steel Erection Co,376,357,71,0
1049,2,Concrete,Concrete Co,376,344,104,0
1049,3,Concrete,Concrete Co,508,534,94,0
1049,3,Carpentry,Carpentry Co,508,556,85,0
1049,4,Steel Erection,Steel Erection Co,376,373,60,0
1049,4,Excavation,Excavation Co,376,342,93,0
1049,5,Concrete,Concrete Co,432,434,91,0
1049,5,Excavation,Excavation Co,432,465,108,0
1050,1,Finishes,Finishes Co,145,134,82,0
1050,1,Plumbing,Plumbing Co,145,136,60,0
1050,2,Plumbing,Plumbing Co,291,262,69,0
1050,2,Concrete,Concrete Co,291,295,73,0
1050,3,Concrete,Concrete Co,393,384,80,1
1050,3,Electrical,Electrical Co,393,382,87,0
1050,4,Finishes,Finishes Co,291,272,84,1
1050,4,Excavation,Excavation Co,291,286,64,1
1050,5,Electrical,Electrical Co,335,325,68,0
1050,5,Steel Erection,Steel Erection Co,335,335,56,0
1051,1,Electrical,Electrical Co,117,107,82,0
1051,1,Plumbing,Plumbing Co,117,114,70,0
1051,2,Finishes,Finishes Co,234,246,99,1
1051,2,HVAC,HVAC Co,234,246,64,1
1051,3,Carpentry,Carpentry Co,316,335,58,0
1051,3,Plumbing,Plumbing Co,316,297,107,0
1051,4,Steel Erection,Steel Erection Co,234,220,56,0
1051,4,Concrete,Concrete Co,234,243,69,0
1051,5,Plumbing,Plumbing Co,269,275,59,0
1051,5,Excavation,Excavation Co,269,284,99,1
1052,1,Excavation,Excavation Co,271,275,84,0
1052,1,Electrical,Electrical Co,271,275,52,0
1052,2,Finishes,Finishes Co,542,580,102,0
1052,2,Concrete,Concrete Co,542,492,72,0
1052,3,Steel Erection,Steel Erection Co,732,683,56,0
1052,3,Plumbing,Plumbing Co,732,723,86,0
1052,4,Electrical,Electrical Co,542,561,86,2
1052,4,Steel Erection,Steel Erection Co,542,498,50,0
1052,5,Steel Erection,Steel Erection Co,623,675,90,0
1052,5,Finishes,Finishes Co,623,644,67,0
1053,1,HVAC,HVAC Co,64,64,67,0
