project_id,phase_id,phase_name,planned_start,planned_end,actual_start,actual_end,planned_cost,actual_cost,planned_hours,actual_hours,weather_delay_days
1012,4,Enclosure,2019-11-18,2020-04-10,2019-11-18,2020-04-06 00:00:00,1328185,1340838,1475,1464,2
1012,5,Interiors,2020-04-11,2020-09-21,2020-04-11,2020-10-04 00:00:00,1475761,1468027,1697,1726,2
1013,1,Site Prep,2011-02-25,2011-04-27,2011-02-25,2011-04-29 00:00:00,625294,640167,625,663,4
1013,2,Foundation,2011-04-28,2011-07-26,2011-04-28,2011-07-29 00:00:00,1375647,1459090,1250,1282,2
1013,3,Structural,2011-07-27,2011-10-28,2011-07-27,2011-11-01 00:00:00,1750824,1765413,1688,1736,3
1013,4,Enclosure,2011-10-29,2012-02-03,2011-10-29,2012-02-10 00:00:00,1125529,1169448,1250,1303,2
1013,5,Interiors,2012-02-04,2012-05-04,2012-02-04,2012-04-30 00:00:00,1250588,1286534,1438,1499,1
1014,1,Site Prep,2009-01-30,2009-05-14,2009-01-30,2009-05-09 00:00:00,160733,167930,160,156,2
1014,2,Foundation,2009-05-15,2009-09-24,2009-05-15,2009-10-08 00:00:00,353612,357969,321,317,0
1014,3,Structural,2009-09-25,2009-12-28,2009-09-25,2010-01-03 00:00:00,450052,454541,433,432,5
1014,4,Enclosure,2009-12-29,2010-03-28,2009-12-29,2010-03-29 00:00:00,289319,287904,321,349,1
1014,5,Interiors,2010-03-29,2010-07-02,2010-03-29,2010-07-16 00:00:00,321466,337003,369,383,1
1015,1,Site Prep,1999-04-05,1999-08-05,1999-04-05,1999-08-12 00:00:00,493314,532502,493,493,2
1015,2,Foundation,1999-08-06,1999-11-24,1999-08-06,1999-12-07 00:00:00,1085291,1141476,986,1031,2
1015,3,Structural,1999-11-25,2000-03-30,1999-11-25,2000-03-28 00:00:00,1381280,1510050,1331,1403,1
1015,4,Enclosure,2000-03-31,2000-07-18,2000-03-31,2000-07-18 00:00:00,887966,944152,986,981,3
1015,5,Interiors,2000-07-19,2000-12-14,2000-07-19,2000-12-16 00:00:00,986629,989825,1134,1148,0
1016,1,Site Prep,2011-09-24,2011-12-10,2011-09-24,2011-12-08 00:00:00,174343,182521,174,180,1
1016,2,Foundation,2011-12-11,2012-03-16,2011-12-11,2012-03-17 00:00:00,383554,385999,348,357,3
1016,3,Structural,2012-03-17,2012-05-19,2012-03-17,2012-05-26 00:00:00,488160,496187,470,494,0
1016,4,Enclosure,2012-05-20,2012-08-15,2012-05-20,2012-08-12 00:00:00,313817,321840,348,361,0
1016,5,Interiors,2012-08-16,2012-11-19,2012-08-16,2012-12-02 00:00:00,348686,361213,400,411,0
1017,1,Site Prep,2022-03-22,2022-05-28,2022-03-22,2022-05-23 00:00:00,1065860,1084153,1065,1037,4
1017,2,Foundation,2022-05-29,2022-08-05,2022-05-29,2022-08-11 00:00:00,2344893,2438047,2131,2199,0
1017,3,Structural,2022-08-06,2022-10-06,2022-08-06,2022-10-04 00:00:00,2984409,3163015,2877,2814,0
1017,4,Enclosure,2022-10-07,2022-12-29,2022-10-07,2022-12-29 00:00:00,1918548,2011298,2131,2195,6
1017,5,Interiors,2022-12-30,2023-03-22,2022-12-30,2023-03-18 00:00:00,2131721,2062356,2451,2588,0
1018,1,Site Prep,2002-04-26,2002-07-03,2002-04-26,2002-07-05 00:00:00,247891,252483,247,264,5
1018,2,Foundation,2002-07-04,2002-08-30,2002-07-04,2002-09-10 00:00:00,545361,555307,495,522,3
1018,3,Structural,2002-08-31,2002-10-31,2002-08-31,2002-10-30 00:00:00,694097,699054,669,704,0
1018,4,Enclosure,2002-11-01,2003-01-12,2002-11-01,2003-01-26 00:00:00,446205,473775,495,513,2
1018,5,Interiors,2003-01-13,2003-03-01,2003-01-13,2003-02-26 00:00:00,495783,507385,570,602,2
1019,1,Site Prep,1997-04-06,1997-05-29,1997-04-06,1997-05-30 00:00:00,213088,225845,213,224,4
1019,2,Foundation,1997-05-30,1997-07-14,1997-05-30,1997-07-11 00:00:00,468795,483398,426,448,2
1019,3,Structural,1997-07-15,1997-09-10,1997-07-15,1997-09-06 00:00:00,596648,590487,575,594,2
1019,4,Enclosure,1997-09-11,1997-10-24,1997-09-11,1997-10-20 00:00:00,383559,381311,426,432,5
1019,5,Interiors,1997-10-25,1997-12-25,1997-10-25,1998-01-04 00:00:00,426177,444690,490,502,2
1020,1,Site Prep,2013-07-04,2013-10-21,2013-07-04,2013-11-02 00:00:00,451313,477555,451,471,1
1020,2,Foundation,2013-10-22,2014-01-31,2013-10-22,2014-01-27 00:00:00,992888,1040909,902,883,2
1020,3,Structural,2014-02-01,2014-05-12,2014-02-01,2014-05-11 00:00:00,1263676,1319980,1218,1237,0
1020,4,Enclosure,2014-05-13,2014-08-30,2014-05-13,2014-09-07 00:00:00,812363,867993,902,955,0
1020,5,Interiors,2014-08-31,2014-12-06,2014-08-31,2014-12-15 00:00:00,902626,944560,1038,1114,1
1021,1,Site Prep,1998-02-15,1998-04-14,1998-02-15,1998-04-12 00:00:00,1382881,1428644,1382,1419,2
1021,2,Foundation,1998-04-15,1998-06-02,1998-04-15,1998-06-11 00:00:00,3042339,3179918,2765,2807,0
1021,3,Structural,1998-06-03,1998-07-29,1998-06-03,1998-08-08 00:00:00,3872068,3904179,3733,3919,1
1021,4,Enclosure,1998-07-30,1998-09-09,1998-07-30,1998-09-11 00:00:00,2489187,2655262,2765,2690,5
1021,5,Interiors,1998-09-10,1998-11-13,1998-09-10,1998-11-18 00:00:00,2765763,2731237,3180,3245,1
1022,1,Site Prep,2019-12-17,2020-03-17,2019-12-17,2020-03-22 00:00:00,1351801,1336860,1351,1394,0
1022,2,Foundation,2020-03-18,2020-06-20,2020-03-18,2020-06-27 00:00:00,2973962,3031390,2703,2631,2
1022,3,Structural,2020-06-21,2020-10-20,2020-06-21,2020-11-01 00:00:00,3785043,3659411,3649,3589,3
1022,4,Enclosure,2020-10-21,2021-01-19,2020-10-21,2021-01-22 00:00:00,2433242,2446923,2703,2717,0
1022,5,Interiors,2021-01-20,2021-05-20,2021-01-20,2021-06-01 00:00:00,2703602,2918876,3109,3203,2
1023,1,Site Prep,2004-04-10,2004-08-22,2004-04-10,2004-08-25 00:00:00,1332008,1425421,1332,1390,2
1023,2,Foundation,2004-08-23,2005-01-06,2004-08-23,2005-01-14 00:00:00,2930417,3013502,2664,2909,4
1023,3,Structural,2005-01-07,2005-05-26,2005-01-07,2005-06-04 00:00:00,3729622,4060703,3596,3757,4
1023,4,Enclosure,2005-05-27,2005-11-07,2005-05-27,2005-11-09 00:00:00,2397614,2498630,2664,2701,0
1023,5,Interiors,2005-11-08,2006-03-28,2005-11-08,2006-03-24 00:00:00,2664016,2836656,3063,3040,1
1024,1,Site Prep,2015-10-09,2016-02-25,2015-10-09,2016-03-02 00:00:00,762340,850153,762,772,0
1024,2,Foundation,2016-02-26,2016-08-04,2016-02-26,2016-08-13 00:00:00,1677148,1734183,1524,1507,2
1024,3,Structural,2016-08-05,2016-12-30,2016-08-05,2016-12-28 00:00:00,2134552,2184169,2058,2082,2
1024,4,Enclosure,2016-12-31,2017-06-20,2016-12-31,2017-06-18 00:00:00,1372212,1372992,1524,1589,0
1024,5,Interiors,2017-06-21,2017-10-08,2017-06-21,2017-10-15 00:00:00,1524680,1567443,1753,1863,0
1025,1,Site Prep,2023-07-13,2023-09-26,2023-07-13,2023-09-25 00:00:00,418768,444026,418,422,5
1025,2,Foundation,2023-09-27,2024-01-04,2023-09-27,2024-01-02 00:00:00,921291,973321,837,872,2
1025,3,Structural,2024-01-05,2024-05-02,2024-01-05,2024-05-13 00:00:00,1172552,1231069,1130,1202,0
1025,4,Enclosure,2024-05-03,2024-07-29,2024-05-03,2024-08-09 00:00:00,753783,772943,837,864,2
1025,5,Interiors,2024-07-30,2024-11-16,2024-07-30,2024-11-22 00:00:00,837537,868931,963,986,0
1026,1,Site Prep,2008-06-11,2008-10-13,2008-06-11,2008-10-25 00:00:00,943256,997921,943,999,0
1026,2,Foundation,2008-10-14,2009-01-05,2008-10-14,2009-01-02 00:00:00,2075164,2153979,1886,1872,1
1026,3,Structural,2009-01-06,2009-04-13,2009-01-06,2009-04-17 00:00:00,2641118,2560206,2546,2497,5
1026,4,Enclosure,2009-04-14,2009-08-01,2009-04-14,2009-08-06 00:00:00,1697861,1788194,1886,1829,1
1026,5,Interiors,2009-08-02,2009-11-27,2009-08-02,2009-11-29 00:00:00,1886513,1883013,2169,2213,0
1027,1,Site Prep,2002-10-29,2002-12-31,2002-10-29,2002-12-29 00:00:00,912210,981951,912,871,6
1027,2,Foundation,2003-01-01,2003-03-11,2003-01-01,2003-03-18 00:00:00,2006862,2068796,1824,1853,0
1027,3,Structural,2003-03-12,2003-05-25,2003-03-12,2003-05-29 00:00:00,2554188,2587230,2462,2571,1
1027,4,Enclosure,2003-05-26,2003-08-10,2003-05-26,2003-08-22 00:00:00,1641978,1607761,1824,1809,3
1027,5,Interiors,2003-08-11,2003-09-27,2003-08-11,2003-10-09 00:00:00,1824420,1851208,2098,2158,1
1028,1,Site Prep,2017-05-16,2017-08-13,2017-05-16,2017-08-25 00:00:00,1014124,1019470,1014,997,0
1028,2,Foundation,2017-08-14,2017-11-07,2017-08-14,2017-11-16 00:00:00,2231073,2378658,2028,2075,1
1028,3,Structural,2017-11-08,2018-02-19,2017-11-08,2018-02-19 00:00:00,2839547,2989662,2738,2774,0
1028,4,Enclosure,2018-02-20,2018-05-18,2018-02-20,2018-05-14 00:00:00,1825423,1809805,2028,2020,1
1028,5,Interiors,2018-05-19,2018-08-25,2018-05-19,2018-08-24 00:00:00,2028248,2075341,2332,2446,6
1029,1,Site Prep,2024-01-19,2024-03-24,2024-01-19,2024-03-19 00:00:00,1241765,1294333,1241,1295,0
1029,2,Foundation,2024-03-25,2024-06-01,2024-03-25,2024-06-02 00:00:00,2731884,2669753,2483,2353,0
1029,3,Structural,2024-06-02,2024-08-07,2024-06-02,2024-08-06 00:00:00,3476944,3607886,3352,3507,6
1029,4,Enclosure,2024-08-08,2024-10-10,2024-08-08,2024-10-18 00:00:00,2235178,2140276,2483,2574,1
1029,5,Interiors,2024-10-11,2024-12-29,2024-10-11,2024-12-28 00:00:00,2483531,2634655,2856,2970,1
1030,1,Site Prep,2019-02-17,2019-04-13,2019-02-17,2019-04-19 00:00:00,1193513,1209381,1193,1201,4
1030,2,Foundation,2019-04-14,2019-06-26,2019-04-14,2019-06-27 00:00:00,2625729,2764641,2387,2381,5
1030,3,Structural,2019-06-27,2019-08-11,2019-06-27,2019-08-07 00:00:00,3341836,3392487,3222,3071,5
1030,4,Enclosure,2019-08-12,2019-10-17,2019-08-12,2019-10-17 00:00:00,2148323,2280905,2387,2316,0
1030,5,Interiors,2019-10-18,2019-12-03,2019-10-18,2019-12-14 00:00:00,2387026,2611842,2745,2620,0
1031,1,Site Prep,2018-12-22,2019-05-18,2018-12-22,2019-05-17 00:00:00,1042023,1059792,1042,1061,3
1031,2,Foundation,2019-05-19,2019-09-29,2019-05-19,2019-10-11 00:00:00,2292451,2416340,2084,2090,1
1031,3,Structural,2019-09-30,2020-02-04,2019-09-30,2020-02-10 00:00:00,2917666,2907009,2813,3019,0
1031,4,Enclosure,2020-02-05,2020-07-08,2020-02-05,2020-07-03 00:00:00,1875642,1886746,2084,2170,5
1031,5,Interiors,2020-07-09,2020-12-05,2020-07-09,2020-12-11 00:00:00,2084047,2167030,2396,2440,0
1032,1,Site Prep,2012-11-15,2013-04-13,2012-11-15,2013-04-11 00:00:00,850896,833542,850,903,3
1032,2,Foundation,2013-04-14,2013-09-04,2013-04-14,2013-09-15 00:00:00,1871971,2043185,1701,1782,3
1032,3,Structural,2013-09-05,2014-01-20,2013-09-05,2014-01-23 00:00:00,2382509,2437672,2297,2390,1
1032,4,Enclosure,2014-01-21,2014-05-16,2014-01-21,2014-05-11 00:00:00,1531613,1526976,1701,1679,0
1032,5,Interiors,2014-05-17,2014-09-20,2014-05-17,2014-09-24 00:00:00,1701792,1814822,1957,2001,1
1033,1,Site Prep,2001-03-02,2001-05-01,2001-03-02,2001-05-03 00:00:00,785773,802369,785,787,2
1033,2,Foundation,2001-05-02,2001-07-16,2001-05-02,2001-07-15 00:00:00,1728702,1688779,1571,1524,2
1033,3,Structural,2001-07-17,2001-09-29,2001-07-17,2001-10-03 00:00:00,2200166,2207785,2121,2063,0
1033,4,Enclosure,2001-09-30,2001-11-26,2001-09-30,2001-12-04 00:00:00,1414392,1392064,1571,1659,1
1033,5,Interiors,2001-11-27,2002-02-16,2001-11-27,2002-02-15 00:00:00,1571547,1615988,1807,1832,3
1034,1,Site Prep,2021-04-04,2021-07-16,2021-04-04,2021-07-23 00:00:00,759930,768030,759,757,1
1034,2,Foundation,2021-07-17,2021-10-27,2021-07-17,2021-11-06 00:00:00,1671847,1720251,1519,1628,0
1034,3,Structural,2021-10-28,2022-01-17,2021-10-28,2022-01-17 00:00:00,2127805,2195348,2051,2070,5
1034,4,Enclosure,2022-01-18,2022-05-03,2022-01-18,2022-05-07 00:00:00,1367875,1389147,1519,1553,4
1034,5,Interiors,2022-05-04,2022-08-11,2022-05-04,2022-08-11 00:00:00,1519861,1571684,1747,1647,5
1035,1,Site Prep,2017-07-30,2017-09-24,2017-07-30,2017-10-07 00:00:00,448420,453646,448,480,0
1035,2,Foundation,2017-09-25,2017-12-11,2017-09-25,2017-12-17 00:00:00,986524,939755,896,975,0
1035,3,Structural,2017-12-12,2018-03-02,2017-12-12,2018-02-27 00:00:00,1255576,1297234,1210,1317,1
1035,4,Enclosure,2018-03-03,2018-05-08,2018-03-03,2018-05-07 00:00:00,807156,846823,896,928,1
1035,5,Interiors,2018-05-09,2018-07-16,2018-05-09,2018-07-12 00:00:00,896840,894440,1031,1070,0
1036,1,Site Prep,2006-03-22,2006-07-26,2006-03-22,2006-08-05 00:00:00,448215,487535,448,443,4
1036,2,Foundation,2006-07-27,2006-11-29,2006-07-27,2006-12-01 00:00:00,986073,1064315,896,917,2
1036,3,Structural,2006-11-30,2007-03-14,2006-11-30,2007-03-24 00:00:00,1255003,1256233,1210,1260,4
1036,4,Enclosure,2007-03-15,2007-06-30,2007-03-15,2007-07-09 00:00:00,806787,838397,896,907,0
1036,5,Interiors,2007-07-01,2007-10-20,2007-07-01,2007-10-28 00:00:00,896430,932166,1030,1049,2
1037,1,Site Prep,2013-07-18,2013-11-28,2013-07-18,2013-12-05 00:00:00,898836,984926,898,919,3
1037,2,Foundation,2013-11-29,2014-04-29,2013-11-29,2014-05-05 00:00:00,1977439,2086839,1797,1891,2
1037,3,Structural,2014-04-30,2014-10-13,2014-04-30,2014-10-26 00:00:00,2516741,2561766,2426,2574,2
1037,4,Enclosure,2014-10-14,2015-02-17,2014-10-14,2015-02-24 00:00:00,1617905,1681788,1797,1838,1
1037,5,Interiors,2015-02-18,2015-06-13,2015-02-18,2015-06-12 00:00:00,1797672,1985466,2067,2024,0
1038,1,Site Prep,1999-05-24,1999-07-23,1999-05-24,1999-08-05 00:00:00,1002993,995443,1002,1046,1
1038,2,Foundation,1999-07-24,1999-10-04,1999-07-24,1999-10-14 00:00:00,2206585,2281101,2005,2070,5
1038,3,Structural,1999-10-05,1999-11-25,1999-10-05,1999-11-21 00:00:00,2808380,2796069,2708,2790,2
1038,4,Enclosure,1999-11-26,2000-02-17,1999-11-26,2000-02-15 00:00:00,1805387,1811488,2005,2053,4
1038,5,Interiors,2000-02-18,2000-04-09,2000-02-18,2000-04-04 00:00:00,2005986,2027665,2306,2359,0
1039,1,Site Prep,2024-09-12,2024-12-07,2024-09-12,,647869,561351,647,542,1
1039,2,Foundation,2024-12-08,2025-03-12,2024-12-08,,1425311,1175630,1295,1124,2
1039,3,Structural,2025-03-13,2025-06-18,2025-03-13,,1814033,1571839,1749,1424,0
1039,4,Enclosure,2025-06-19,2025-08-22,2025-06-19,,1166164,1059206,1295,1086,3
1039,5,Interiors,2025-08-23,2025-11-12,2025-08-23,,1295738,1161457,1490,1245,6
1040,1,Site Prep,2010-02-10,2010-05-02,2010-02-10,2010-05-04 00:00:00,1412234,1449482,1412,1415,1
1040,2,Foundation,2010-05-03,2010-08-03,2010-05-03,2010-08-14 00:00:00,3106916,3328110,2824,2964,0
1040,3,Structural,2010-08-04,2010-10-12,2010-08-04,2010-10-07 00:00:00,3954256,4141360,3813,3871,5
1040,4,Enclosure,2010-10-13,2010-12-12,2010-10-13,2010-12-15 00:00:00,2542022,2640490,2824,2913,2
1040,5,Interiors,2010-12-13,2011-02-17,2010-12-13,2011-02-18 00:00:00,2824469,3106265,3248,3320,3
1041,1,Site Prep,2000-04-14,2000-09-01,2000-04-14,2000-08-30 00:00:00,346841,366931,346,343,3
1041,2,Foundation,2000-09-02,2001-02-04,2000-09-02,2001-02-06 00:00:00,763050,783650,693,692,1
1041,3,Structural,2001-02-05,2001-07-18,2001-02-05,2001-07-27 00:00:00,971155,991366,936,982,0
1041,4,Enclosure,2001-07-19,2001-12-18,2001-07-19,2001-12-18 00:00:00,624314,677977,693,711,4
1041,5,Interiors,2001-12-19,2002-04-01,2001-12-19,2002-04-09 00:00:00,693682,673505,797,848,0
1042,1,Site Prep,2005-03-17,2005-05-18,2005-03-17,2005-05-24 00:00:00,567460,582729,567,587,1
1042,2,Foundation,2005-05-19,2005-07-12,2005-05-19,2005-07-15 00:00:00,1248412,1305796,1134,1214,1
1042,3,Structural,2005-07-13,2005-09-03,2005-07-13,2005-08-31 00:00:00,1588888,1556209,1532,1575,2
1042,4,Enclosure,2005-09-04,2005-10-18,2005-09-04,2005-10-18 00:00:00,1021428,998371,1134,1138,3
1042,5,Interiors,2005-10-19,2005-12-12,2005-10-19,2005-12-10 00:00:00,1134920,1243193,1305,1264,5
1043,1,Site Prep,2008-10-10,2009-03-18,2008-10-10,2009-03-13 00:00:00,1340551,1337533,1340,1310,0
1043,2,Foundation,2009-03-19,2009-07-21,2009-03-19,2009-07-25 00:00:00,2949213,2866146,2681,2768,4
1043,3,Structural,2009-07-22,2009-11-29,2009-07-22,2009-11-25 00:00:00,3753544,3693000,3619,3834,5
1043,4,Enclosure,2009-11-30,2010-04-16,2009-11-30,2010-04-26 00:00:00,2412993,2322127,2681,2713,0
1043,5,Interiors,2010-04-17,2010-09-18,2010-04-17,2010-09-17 00:00:00,2681103,2848088,3083,3155,4
1044,1,Site Prep,2021-11-09,2022-03-28,2021-11-09,2022-03-31 00:00:00,1305864,1286657,1305,1347,0
1044,2,Foundation,2022-03-29,2022-07-24,2022-03-29,2022-08-06 00:00:00,2872901,2993003,2611,2597,3
1044,3,Structural,2022-07-25,2023-01-14,2022-07-25,2023-01-09 00:00:00,3656419,3676995,3525,3761,1
1044,4,Enclosure,2023-01-15,2023-04-30,2023-01-15,2023-05-03 00:00:00,2350555,2472953,2611,2809,2
1044,5,Interiors,2023-05-01,2023-10-16,2023-05-01,2023-10-13 00:00:00,2611728,2690807,3003,3060,2
1045,1,Site Prep,2009-03-14,2009-05-06,2009-03-14,2009-05-03 00:00:00,959904,976358,959,971,2
1045,2,Foundation,2009-05-07,2009-07-31,2009-05-07,2009-07-28 00:00:00,2111789,2090459,1919,1972,0
1045,3,Structural,2009-08-01,2009-10-21,2009-08-01,2009-10-28 00:00:00,2687731,2884944,2591,2712,0
1045,4,Enclosure,2009-10-22,2010-01-13,2009-10-22,2010-01-24 00:00:00,1727827,1673362,1919,1908,2
1045,5,Interiors,2010-01-14,2010-03-17,2010-01-14,2010-03-30 00:00:00,1919808,2031070,2207,2452,3
1046,1,Site Prep,2022-08-11,2022-10-01,2022-08-11,2022-10-12 00:00:00,272411,288541,272,286,1
1046,2,Foundation,2022-10-02,2022-11-26,2022-10-02,2022-12-01 00:00:00,599305,625402,544,519,1
1046,3,Structural,2022-11-27,2023-01-29,2022-11-27,2023-01-31 00:00:00,762753,753822,735,713,2
1046,4,Enclosure,2023-01-30,2023-04-10,2023-01-30,2023-04-07 00:00:00,490341,521995,544,533,1
1046,5,Interiors,2023-04-11,2023-06-22,2023-04-11,2023-06-30 00:00:00,544823,560338,626,646,3
1047,1,Site Prep,2000-07-29,2001-01-07,2000-07-29,2001-01-14 00:00:00,805286,852505,805,877,5
