project_id,phase_id,supplier,item,qty,planned_cost,actual_cost,delivery_date,delivery_delay_days
1008,4,RapidSupply,Lumber,24,19116,22509,1998-06-03,5
1008,5,Cascade Steel,Lumber,64,24758,11305,1998-07-26,1
1008,5,Cascade Steel,Concrete,24,8554,18770,1998-07-26,2
1009,1,RapidSupply,Concrete,23,13113,12810,2005-04-17,0
1009,1,NorthStar Materials,Concrete,96,12422,8793,2005-04-17,5
1009,2,Cascade Steel,Concrete,69,11469,23777,2005-09-22,4
1009,2,MetroBuild,Steel,36,20158,24932,2005-09-22,4
1009,3,MetroBuild,Lumber,21,21236,13496,2006-03-01,2
1009,3,MetroBuild,Lumber,71,18853,17601,2006-03-01,1
1009,4,RapidSupply,Steel,39,22700,18607,2006-08-04,5
1009,4,MetroBuild,Concrete,94,15557,20424,2006-08-04,5
1009,5,MetroBuild,Concrete,36,10455,27482,2006-12-14,0
1009,5,NorthStar Materials,Steel,41,22582,25348,2006-12-14,2
1010,1,MetroBuild,Concrete,95,14941,20646,2006-01-25,0
1010,1,NorthStar Materials,Concrete,91,22980,15089,2006-01-25,2
1010,2,NorthStar Materials,Steel,47,24118,25740,2006-04-13,4
1010,2,RapidSupply,Steel,51,22881,21885,2006-04-13,1
1010,3,Cascade Steel,Concrete,89,15029,16353,2006-07-03,5
1010,3,NorthStar Materials,Steel,29,19215,22964,2006-07-03,5
1010,4,NorthStar Materials,Steel,89,21020,25464,2006-10-04,0
1010,4,MetroBuild,Concrete,83,22329,11430,2006-10-04,5
1010,5,RapidSupply,Lumber,71,9112,11521,2007-01-10,5
1010,5,MetroBuild,Steel,95,11202,16872,2007-01-10,0
1011,1,RapidSupply,Steel,83,16181,24604,2017-09-08,1
1011,1,RapidSupply,Steel,51,23863,20026,2017-09-08,5
1011,2,Cascade Steel,Lumber,83,22119,11783,2017-12-23,1
1011,2,Cascade Steel,Concrete,60,16105,16579,2017-12-23,0
1011,3,NorthStar Materials,Concrete,97,15534,23445,2018-05-18,4
1011,3,Cascade Steel,Steel,84,14631,21108,2018-05-18,2
1011,4,Cascade Steel,Steel,65,17599,22475,2018-10-10,2
1011,4,MetroBuild,Lumber,79,18631,22415,2018-10-10,4
1011,5,MetroBuild,Lumber,79,18014,11834,2019-02-18,3
1011,5,MetroBuild,Steel,96,23356,9356,2019-02-18,2
1012,1,Cascade Steel,Concrete,97,9560,27147,2018-10-30,1
1012,1,MetroBuild,Lumber,91,13226,12722,2018-10-30,1
1012,2,Cascade Steel,Steel,91,17746,14314,2019-03-17,2
1012,2,MetroBuild,Steel,94,14536,19136,2019-03-17,3
1012,3,MetroBuild,Steel,31,16798,21302,2019-07-21,2
1012,3,NorthStar Materials,Concrete,63,9748,15899,2019-07-21,1
1012,4,RapidSupply,Steel,89,15483,21003,2019-11-18,0
1012,4,NorthStar Materials,Concrete,75,19707,9910,2019-11-18,2
1012,5,MetroBuild,Concrete,79,12289,22195,2020-04-11,1
1012,5,MetroBuild,Lumber,36,22943,24305,2020-04-11,1
1013,1,MetroBuild,Lumber,21,24581,14094,2011-02-25,5
1013,1,MetroBuild,Steel,49,16389,16779,2011-02-25,3
1013,2,NorthStar Materials,Concrete,52,9045,26767,2011-04-28,1
1013,2,MetroBuild,Steel,74,11237,20863,2011-04-28,2
1013,3,RapidSupply,Steel,89,9848,27703,2011-07-27,2
1013,3,RapidSupply,Steel,76,17568,23302,2011-07-27,1
1013,4,MetroBuild,Lumber,41,24613,24469,2011-10-29,1
1013,4,RapidSupply,Lumber,21,9545,25365,2011-10-29,4
1013,5,MetroBuild,Steel,54,16353,21835,2012-02-04,0
1013,5,Cascade Steel,Steel,65,18856,15341,2012-02-04,3
1014,1,Cascade Steel,Lumber,76,12029,19698,2009-01-30,3
1014,1,Cascade Steel,Lumber,88,11027,11840,2009-01-30,0
1014,2,NorthStar Materials,Lumber,34,12469,10091,2009-05-15,1
1014,2,Cascade Steel,Lumber,98,21579,22658,2009-05-15,1
1014,3,Cascade Steel,Concrete,69,13412,27175,2009-09-25,1
1014,3,RapidSupply,Lumber,78,9216,14349,2009-09-25,5
1014,4,NorthStar Materials,Lumber,51,21843,24847,2009-12-29,3
1014,4,Cascade Steel,Steel,59,9438,25731,2009-12-29,5
1014,5,Cascade Steel,Concrete,47,9790,16929,2010-03-29,3
1014,5,MetroBuild,Steel,78,10383,20891,2010-03-29,3
1015,1,MetroBuild,Lumber,78,21792,23197,1999-04-05,3
1015,1,NorthStar Materials,Lumber,24,23064,25179,1999-04-05,4
1015,2,NorthStar Materials,Lumber,33,16352,22873,1999-08-06,5
1015,2,MetroBuild,Concrete,27,22546,21382,1999-08-06,4
1015,3,MetroBuild,Steel,80,21751,11499,1999-11-25,5
1015,3,NorthStar Materials,Steel,97,14450,19053,1999-11-25,1
1015,4,RapidSupply,Lumber,94,22100,8704,2000-03-31,2
1015,4,NorthStar Materials,Lumber,28,15597,24886,2000-03-31,4
1015,5,MetroBuild,Lumber,65,15550,24262,2000-07-19,1
1015,5,Cascade Steel,Concrete,53,17580,12332,2000-07-19,5
1016,1,MetroBuild,Lumber,37,10171,16385,2011-09-24,1
1016,1,RapidSupply,Steel,24,13236,17194,2011-09-24,3
1016,2,Cascade Steel,Concrete,30,10319,12098,2011-12-11,2
1016,2,RapidSupply,Steel,92,15305,25765,2011-12-11,1
1016,3,RapidSupply,Concrete,88,10730,13712,2012-03-17,1
1016,3,Cascade Steel,Lumber,58,11698,25856,2012-03-17,4
1016,4,Cascade Steel,Concrete,58,21136,27534,2012-05-20,0
1016,4,MetroBuild,Concrete,76,24729,23429,2012-05-20,3
1016,5,RapidSupply,Concrete,38,13352,18218,2012-08-16,2
1016,5,Cascade Steel,Steel,53,14792,11817,2012-08-16,2
1017,1,MetroBuild,Lumber,70,11378,21401,2022-03-22,0
1017,1,RapidSupply,Steel,33,17978,24944,2022-03-22,1
1017,2,NorthStar Materials,Steel,32,15826,11086,2022-05-29,3
1017,2,NorthStar Materials,Steel,71,23859,25038,2022-05-29,3
1017,3,RapidSupply,Steel,83,24082,18319,2022-08-06,2
1017,3,NorthStar Materials,Concrete,79,22785,8572,2022-08-06,2
1017,4,Cascade Steel,Steel,25,21991,25336,2022-10-07,0
1017,4,Cascade Steel,Lumber,48,11850,17271,2022-10-07,2
1017,5,Cascade Steel,Concrete,72,10959,25721,2022-12-30,2
1017,5,MetroBuild,Steel,62,16194,19047,2022-12-30,1
1018,1,NorthStar Materials,Steel,61,18778,19252,2002-04-26,1
1018,1,RapidSupply,Concrete,56,18198,25959,2002-04-26,2
1018,2,NorthStar Materials,Concrete,46,22860,10996,2002-07-04,2
1018,2,MetroBuild,Lumber,31,24638,14197,2002-07-04,0
1018,3,Cascade Steel,Concrete,28,10156,12720,2002-08-31,5
1018,3,Cascade Steel,Concrete,61,9940,9273,2002-08-31,4
1018,4,NorthStar Materials,Lumber,62,22695,26518,2002-11-01,5
1018,4,Cascade Steel,Lumber,95,19974,20566,2002-11-01,4
1018,5,MetroBuild,Lumber,83,21142,10803,2003-01-13,2
1018,5,NorthStar Materials,Steel,71,18809,15684,2003-01-13,1
1019,1,NorthStar Materials,Steel,45,18519,18390,1997-04-06,0
1019,1,Cascade Steel,Steel,48,9986,20444,1997-04-06,1
1019,2,MetroBuild,Steel,57,16108,24576,1997-05-30,1
1019,2,Cascade Steel,Lumber,50,16795,25504,1997-05-30,2
1019,3,MetroBuild,Steel,47,11435,10984,1997-07-15,3
1019,3,Cascade Steel,Lumber,88,22186,9311,1997-07-15,2
1019,4,RapidSupply,Lumber,48,16414,18748,1997-09-11,0
1019,4,RapidSupply,Concrete,92,11090,17749,1997-09-11,5
1019,5,Cascade Steel,Lumber,46,9166,18731,1997-10-25,3
1019,5,Cascade Steel,Lumber,92,18232,22804,1997-10-25,1
1020,1,Cascade Steel,Concrete,49,23032,20938,2013-07-04,2
1020,1,Cascade Steel,Steel,70,13112,13528,2013-07-04,1
1020,2,Cascade Steel,Concrete,81,21402,17900,2013-10-22,2
1020,2,NorthStar Materials,Steel,45,22138,18208,2013-10-22,0
1020,3,RapidSupply,Steel,28,10086,10763,2014-02-01,4
1020,3,MetroBuild,Concrete,31,21918,14249,2014-02-01,2
1020,4,Cascade Steel,Steel,77,8788,25899,2014-05-13,2
1020,4,RapidSupply,Concrete,34,10836,15880,2014-05-13,5
1020,5,Cascade Steel,Lumber,60,10015,13685,2014-08-31,3
1020,5,RapidSupply,Lumber,85,20571,20404,2014-08-31,1
1021,1,RapidSupply,Lumber,33,10326,18828,1998-02-15,4
1021,1,NorthStar Materials,Concrete,90,14690,15054,1998-02-15,0
1021,2,Cascade Steel,Steel,99,20668,10627,1998-04-15,4
1021,2,RapidSupply,Steel,84,22383,26541,1998-04-15,1
1021,3,NorthStar Materials,Steel,43,8851,23638,1998-06-03,4
1021,3,RapidSupply,Concrete,98,10299,15757,1998-06-03,3
1021,4,MetroBuild,Steel,70,23406,21665,1998-07-30,4
1021,4,NorthStar Materials,Concrete,98,24835,14840,1998-07-30,3
1021,5,RapidSupply,Lumber,98,22420,26123,1998-09-10,2
1021,5,Cascade Steel,Lumber,78,14989,19042,1998-09-10,0
1022,1,Cascade Steel,Steel,39,18110,19110,2019-12-17,0
1022,1,Cascade Steel,Concrete,46,10273,20379,2019-12-17,2
1022,2,RapidSupply,Lumber,50,8558,23343,2020-03-18,4
1022,2,RapidSupply,Concrete,44,14523,14403,2020-03-18,0
1022,3,NorthStar Materials,Lumber,99,23348,9983,2020-06-21,0
1022,3,MetroBuild,Concrete,68,14257,23026,2020-06-21,2
1022,4,RapidSupply,Steel,89,10962,8966,2020-10-21,2
1022,4,RapidSupply,Concrete,60,8619,9388,2020-10-21,5
1022,5,RapidSupply,Steel,43,22922,18248,2021-01-20,0
1022,5,RapidSupply,Concrete,42,8638,20439,2021-01-20,4
1023,1,Cascade Steel,Concrete,79,21772,15569,2004-04-10,1
1023,1,MetroBuild,Lumber,75,20276,25598,2004-04-10,5
1023,2,RapidSupply,Steel,70,14708,9302,2004-08-23,2
1023,2,NorthStar Materials,Concrete,77,10087,9001,2004-08-23,0
1023,3,MetroBuild,Concrete,88,18338,19027,2005-01-07,1
1023,3,NorthStar Materials,Concrete,70,12354,26356,2005-01-07,0
1023,4,MetroBuild,Lumber,49,17355,15170,2005-05-27,1
1023,4,RapidSupply,Lumber,78,10250,11621,2005-05-27,2
1023,5,Cascade Steel,Concrete,20,11923,18264,2005-11-08,3
1023,5,Cascade Steel,Steel,65,21872,26706,2005-11-08,2
1024,1,RapidSupply,Concrete,78,12647,9849,2015-10-09,4
1024,1,NorthStar Materials,Concrete,31,16283,23829,2015-10-09,3
1024,2,RapidSupply,Concrete,29,22406,14339,2016-02-26,0
1024,2,NorthStar Materials,Lumber,25,23436,9823,2016-02-26,1
1024,3,RapidSupply,Concrete,91,14833,26181,2016-08-05,0
1024,3,MetroBuild,Lumber,56,22474,20771,2016-08-05,4
1024,4,Cascade Steel,Steel,61,10695,27999,2016-12-31,1
1024,4,NorthStar Materials,Lumber,46,17788,13107,2016-12-31,4
1024,5,Cascade Steel,Concrete,42,8099,17429,2017-06-21,3
1024,5,Cascade Steel,Steel,65,20243,19735,2017-06-21,3
1025,1,MetroBuild,Lumber,57,8389,15272,2023-07-13,2
1025,1,MetroBuild,Steel,49,10749,27928,2023-07-13,4
1025,2,Cascade Steel,Steel,30,16277,17123,2023-09-27,0
1025,2,RapidSupply,Steel,48,12132,16613,2023-09-27,5
1025,3,MetroBuild,Steel,73,22312,9234,2024-01-05,0
1025,3,NorthStar Materials,Concrete,57,13009,24416,2024-01-05,1
1025,4,NorthStar Materials,Steel,61,15136,10228,2024-05-03,0
1025,4,Cascade Steel,Concrete,99,9585,22084,2024-05-03,1
1025,5,RapidSupply,Steel,65,8463,19994,2024-07-30,0
1025,5,NorthStar Materials,Concrete,71,24289,23569,2024-07-30,2
1026,1,NorthStar Materials,Steel,32,16739,12318,2008-06-11,5
1026,1,MetroBuild,Lumber,44,22765,22757,2008-06-11,5
1026,2,MetroBuild,Concrete,37,21513,22491,2008-10-14,5
1026,2,RapidSupply,Concrete,36,22115,20937,2008-10-14,4
1026,3,Cascade Steel,Steel,91,20589,23103,2009-01-06,2
1026,3,RapidSupply,Lumber,91,13917,19093,2009-01-06,3
1026,4,Cascade Steel,Lumber,61,11575,20192,2009-04-14,2
1026,4,MetroBuild,Concrete,34,21867,22852,2009-04-14,1
1026,5,RapidSupply,Concrete,49,18524,21640,2009-08-02,2
1026,5,Cascade Steel,Concrete,77,23648,25965,2009-08-02,0
1027,1,RapidSupply,Steel,48,18455,20752,2002-10-29,4
1027,1,RapidSupply,Lumber,29,23807,10330,2002-10-29,3
1027,2,NorthStar Materials,Steel,32,15349,18960,2003-01-01,0
1027,2,Cascade Steel,Lumber,39,8238,24045,2003-01-01,4
1027,3,Cascade Steel,Lumber,93,23652,25120,2003-03-12,5
1027,3,MetroBuild,Concrete,24,17592,9546,2003-03-12,0
1027,4,MetroBuild,Lumber,71,23940,12960,2003-05-26,3
1027,4,NorthStar Materials,Lumber,63,10129,12557,2003-05-26,0
1027,5,NorthStar Materials,Concrete,34,17179,10414,2003-08-11,4
1027,5,MetroBuild,Concrete,54,9230,27815,2003-08-11,5
1028,1,Cascade Steel,Concrete,82,14480,27170,2017-05-16,1
1028,1,Cascade Steel,Lumber,86,9763,21285,2017-05-16,0
1028,2,RapidSupply,Lumber,33,19138,8893,2017-08-14,5
1028,2,Cascade Steel,Lumber,46,22563,22553,2017-08-14,5
1028,3,MetroBuild,Steel,39,10317,26267,2017-11-08,2
1028,3,MetroBuild,Steel,55,9538,18478,2017-11-08,4
1028,4,Cascade Steel,Steel,68,24607,25261,2018-02-20,0
1028,4,Cascade Steel,Concrete,43,23954,27848,2018-02-20,3
1028,5,NorthStar Materials,Concrete,79,23629,18854,2018-05-19,2
1028,5,RapidSupply,Steel,34,11141,16512,2018-05-19,5
1029,1,MetroBuild,Steel,58,20599,23880,2024-01-19,4
1029,1,MetroBuild,Steel,90,9975,21528,2024-01-19,4
1029,2,RapidSupply,Steel,32,13807,21516,2024-03-25,0
1029,2,Cascade Steel,Lumber,90,18719,22520,2024-03-25,3
1029,3,NorthStar Materials,Steel,49,16080,16794,2024-06-02,0
1029,3,RapidSupply,Concrete,74,10863,20241,2024-06-02,0
1029,4,NorthStar Materials,Concrete,31,22260,25940,2024-08-08,1
1029,4,MetroBuild,Steel,88,17895,16826,2024-08-08,1
1029,5,NorthStar Materials,Lumber,53,10893,19122,2024-10-11,3
1029,5,NorthStar Materials,Concrete,34,14712,20081,2024-10-11,0
1030,1,Cascade Steel,Steel,90,21637,23975,2019-02-17,3
1030,1,Cascade Steel,Concrete,28,23591,9059,2019-02-17,1
1030,2,RapidSupply,Steel,99,11037,19715,2019-04-14,5
1030,2,RapidSupply,Steel,67,22984,25526,2019-04-14,1
1030,3,MetroBuild,Steel,93,21360,25922,2019-06-27,1
1030,3,MetroBuild,Steel,23,21486,13696,2019-06-27,3
1030,4,NorthStar Materials,Concrete,23,18235,13669,2019-08-12,0
1030,4,MetroBuild,Concrete,66,9880,21271,2019-08-12,2
1030,5,Cascade Steel,Lumber,59,20945,16125,2019-10-18,5
1030,5,RapidSupply,Lumber,70,15255,15150,2019-10-18,4
1031,1,NorthStar Materials,Concrete,57,13787,20921,2018-12-22,4
1031,1,MetroBuild,Lumber,82,14635,21655,2018-12-22,5
1031,2,RapidSupply,Steel,97,23471,12264,2019-05-19,5
1031,2,Cascade Steel,Concrete,85,14210,8671,2019-05-19,3
1031,3,Cascade Steel,Steel,45,10060,27363,2019-09-30,0
1031,3,Cascade Steel,Concrete,92,20132,10426,2019-09-30,5
1031,4,NorthStar Materials,Steel,69,11851,10781,2020-02-05,0
1031,4,MetroBuild,Steel,39,8395,11012,2020-02-05,4
1031,5,Cascade Steel,Lumber,95,20503,23615,2020-07-09,0
1031,5,NorthStar Materials,Steel,38,18965,15142,2020-07-09,3
1032,1,RapidSupply,Concrete,42,20506,8604,2012-11-15,4
1032,1,MetroBuild,Lumber,79,10710,14447,2012-11-15,5
1032,2,RapidSupply,Concrete,71,8278,13519,2013-04-14,3
1032,2,MetroBuild,Lumber,88,8360,18506,2013-04-14,0
1032,3,NorthStar Materials,Lumber,80,8587,16557,2013-09-05,1
1032,3,NorthStar Materials,Steel,54,12762,23529,2013-09-05,5
1032,4,Cascade Steel,Steel,24,8719,21921,2014-01-21,1
1032,4,NorthStar Materials,Lumber,48,8894,22981,2014-01-21,4
1032,5,MetroBuild,Steel,81,11546,27735,2014-05-17,5
1032,5,MetroBuild,Lumber,98,16358,26280,2014-05-17,0
1033,1,MetroBuild,Concrete,51,12095,26222,2001-03-02,5
1033,1,Cascade Steel,Concrete,41,23457,23637,2001-03-02,1
1033,2,RapidSupply,Steel,83,8730,9528,2001-05-02,1
1033,2,RapidSupply,Concrete,35,23306,9718,2001-05-02,3
1033,3,NorthStar Materials,Concrete,82,19348,13492,2001-07-17,5
1033,3,RapidSupply,Lumber,44,22008,21552,2001-07-17,4
1033,4,NorthStar Materials,Lumber,53,23681,16326,2001-09-30,4
1033,4,Cascade Steel,Lumber,87,9496,13116,2001-09-30,4
1033,5,Cascade Steel,Lumber,66,9823,10352,2001-11-27,0
1033,5,MetroBuild,Concrete,32,15906,11262,2001-11-27,5
1034,1,MetroBuild,Concrete,24,23607,13405,2021-04-04,3
1034,1,NorthStar Materials,Steel,26,22074,15089,2021-04-04,5
1034,2,NorthStar Materials,Lumber,82,23164,15096,2021-07-17,5
1034,2,Cascade Steel,Concrete,65,11285,25141,2021-07-17,1
1034,3,Cascade Steel,Lumber,88,9346,20892,2021-10-28,2
1034,3,NorthStar Materials,Steel,95,22322,9305,2021-10-28,4
1034,4,NorthStar Materials,Lumber,59,21021,14756,2022-01-18,2
1034,4,NorthStar Materials,Steel,85,8394,12433,2022-01-18,0
1034,5,RapidSupply,Steel,97,20693,8658,2022-05-04,0
1034,5,MetroBuild,Concrete,79,16770,12370,2022-05-04,3
1035,1,Cascade Steel,Concrete,27,16164,25471,2017-07-30,2
1035,1,MetroBuild,Concrete,21,11055,21356,2017-07-30,2
1035,2,MetroBuild,Lumber,27,9731,22795,2017-09-25,1
1035,2,RapidSupply,Steel,61,16826,16859,2017-09-25,3
1035,3,RapidSupply,Steel,96,12231,12781,2017-12-12,4
1035,3,Cascade Steel,Lumber,68,15167,14738,2017-12-12,3
1035,4,NorthStar Materials,Lumber,22,18493,26266,2018-03-03,5
1035,4,MetroBuild,Steel,22,21504,9844,2018-03-03,2
1035,5,NorthStar Materials,Lumber,59,20150,22900,2018-05-09,1
1035,5,NorthStar Materials,Concrete,43,16802,8634,2018-05-09,1
1036,1,MetroBuild,Steel,91,16463,16872,2006-03-22,5
1036,1,RapidSupply,Concrete,50,16700,8693,2006-03-22,3
1036,2,Cascade Steel,Lumber,40,23963,12472,2006-07-27,0
1036,2,MetroBuild,Lumber,47,17961,21941,2006-07-27,1
1036,3,Cascade Steel,Steel,24,9946,23829,2006-11-30,3
1036,3,MetroBuild,Steel,94,15469,17505,2006-11-30,5
1036,4,NorthStar Materials,Steel,22,21487,18423,2007-03-15,1
1036,4,MetroBuild,Lumber,23,15182,12013,2007-03-15,5
1036,5,NorthStar Materials,Lumber,60,24840,14092,2007-07-01,5
1036,5,Cascade Steel,Steel,70,15901,8865,2007-07-01,3
1037,1,NorthStar Materials,Concrete,32,24769,15462,2013-07-18,2
1037,1,Cascade Steel,Concrete,81,20646,17073,2013-07-18,4
1037,2,RapidSupply,Concrete,20,19443,16252,2013-11-29,3
1037,2,MetroBuild,Steel,41,22478,25159,2013-11-29,1
1037,3,NorthStar Materials,Concrete,35,21646,20941,2014-04-30,4
1037,3,MetroBuild,Steel,75,18658,24003,2014-04-30,3
1037,4,MetroBuild,Concrete,84,20236,10296,2014-10-14,2
1037,4,NorthStar Materials,Lumber,72,24952,13263,2014-10-14,2
1037,5,NorthStar Materials,Lumber,99,8708,23959,2015-02-18,0
1037,5,MetroBuild,Concrete,75,24665,27361,2015-02-18,3
1038,1,MetroBuild,Lumber,89,17856,16739,1999-05-24,3
1038,1,Cascade Steel,Concrete,70,11583,24481,1999-05-24,1
1038,2,NorthStar Materials,Lumber,50,9326,18069,1999-07-24,0
1038,2,RapidSupply,Lumber,62,18057,9523,1999-07-24,2
1038,3,NorthStar Materials,Concrete,68,13782,24303,1999-10-05,3
1038,3,NorthStar Materials,Steel,45,20971,19951,1999-10-05,0
1038,4,NorthStar Materials,Lumber,34,14627,25120,1999-11-26,5
1038,4,RapidSupply,Lumber,60,12198,24863,1999-11-26,0
1038,5,MetroBuild,Steel,62,20045,18554,2000-02-18,4
1038,5,Cascade Steel,Lumber,36,17145,18044,2000-02-18,1
1039,1,RapidSupply,Concrete,62,24837,8572,2024-09-12,1
1039,1,NorthStar Materials,Steel,50,20926,10194,2024-09-12,4
1039,2,Cascade Steel,Lumber,45,11718,10046,2024-12-08,4
1039,2,NorthStar Materials,Concrete,74,8849,14538,2024-12-08,1
1039,3,NorthStar Materials,Concrete,29,12278,23060,2025-03-13,4
1039,3,RapidSupply,Concrete,38,20903,21846,2025-03-13,2
1039,4,MetroBuild,Concrete,54,17263,9447,2025-06-19,5
1039,4,NorthStar Materials,Steel,24,11859,15090,2025-06-19,3
1039,5,RapidSupply,Lumber,58,9502,19100,2025-08-23,2
1039,5,NorthStar Materials,Lumber,67,14506,27513,2025-08-23,5
1040,1,NorthStar Materials,Lumber,46,13954,17461,2010-02-10,3
1040,1,MetroBuild,Lumber,22,9779,15390,2010-02-10,3
1040,2,NorthStar Materials,Steel,78,24915,15333,2010-05-03,1
