project_id,phase_id,co_id,co_cost,co_reason,date
1018,1,CO-1018-1-968,27330,Design revision,2002-05-23
1018,1,CO-1018-1-740,10683,Scope change,2002-05-08
1018,1,CO-1018-1-365,34004,Client request,2002-05-06
1018,2,CO-1018-2-115,30239,Design revision,2002-07-15
1018,3,CO-1018-3-751,37613,Client request,2002-09-20
1018,5,CO-1018-5-802,21418,Client request,2003-02-04
1019,1,CO-1019-1-401,26163,Client request,1997-04-27
1019,2,CO-1019-2-621,24134,Scope change,1997-06-16
1020,1,CO-1020-1-742,26876,Scope change,2013-07-14
1020,2,CO-1020-2-293,27539,Unforeseen conditions,2013-11-13
1020,2,CO-1020-2-866,49380,Client request,2013-11-08
1020,3,CO-1020-3-564,20050,Scope change,2014-02-23
1020,4,CO-1020-4-985,40314,Client request,2014-06-05
1020,4,CO-1020-4-954,26711,Unforeseen conditions,2014-06-08
1020,5,CO-1020-5-656,28596,Client request,2014-09-21
1021,2,CO-1021-2-365,11753,Unforeseen conditions,1998-04-27
1021,3,CO-1021-3-575,45078,Unforeseen conditions,1998-06-23
1022,2,CO-1022-2-744,26705,Client request,2020-04-02
1022,5,CO-1022-5-135,47065,Scope change,2021-02-01
1022,5,CO-1022-5-906,43278,Scope change,2021-02-06
1023,1,CO-1023-1-209,17654,Unforeseen conditions,2004-05-03
1023,1,CO-1023-1-152,33767,Design revision,2004-04-20
1023,1,CO-1023-1-147,37038,Scope change,2004-04-29
1023,5,CO-1023-5-456,35517,Unforeseen conditions,2005-11-18
1024,3,CO-1024-3-768,25677,Design revision,2016-09-02
1024,4,CO-1024-4-361,38752,Client request,2017-01-28
1024,4,CO-1024-4-814,13777,Scope change,2017-01-20
1024,5,CO-1024-5-380,41191,Client request,2017-07-04
1025,1,CO-1025-1-624,11558,Design revision,2023-08-09
1025,1,CO-1025-1-113,31805,Unforeseen conditions,2023-07-26
1025,2,CO-1025-2-247,26868,Design revision,2023-10-26
1025,3,CO-1025-3-713,13274,Unforeseen conditions,2024-01-24
1025,5,CO-1025-5-591,29391,Client request,2024-08-16
1026,3,CO-1026-3-715,18716,Scope change,2009-01-23
1026,3,CO-1026-3-160,31983,Unforeseen conditions,2009-01-28
1026,4,CO-1026-4-603,26920,Client request,2009-05-06
1026,4,CO-1026-4-357,15641,Client request,2009-04-28
1026,5,CO-1026-5-192,23004,Scope change,2009-08-21
1027,1,CO-1027-1-369,37437,Design revision,2002-11-08
1027,4,CO-1027-4-591,30781,Client request,2003-06-22
1027,5,CO-1027-5-423,41745,Unforeseen conditions,2003-09-05
1028,1,CO-1028-1-913,38296,Client request,2017-06-12
1028,1,CO-1028-1-881,34406,Client request,2017-06-09
1028,3,CO-1028-3-146,13877,Unforeseen conditions,2017-11-18
1028,3,CO-1028-3-405,19671,Unforeseen conditions,2017-11-25
1028,3,CO-1028-3-454,29246,Scope change,2017-11-30
1028,5,CO-1028-5-274,19495,Design revision,2018-06-05
1029,1,CO-1029-1-295,47860,Client request,2024-02-02
1029,3,CO-1029-3-111,29349,Unforeseen conditions,2024-06-21
1029,5,CO-1029-5-319,27029,Scope change,2024-10-31
1029,5,CO-1029-5-215,44416,Unforeseen conditions,2024-10-28
1030,3,CO-1030-3-209,47273,Design revision,2019-07-08
1030,4,CO-1030-4-201,22567,Unforeseen conditions,2019-09-10
1031,1,CO-1031-1-531,28626,Design revision,2019-01-14
1031,1,CO-1031-1-108,27576,Unforeseen conditions,2019-01-16
1032,2,CO-1032-2-646,43815,Client request,2013-04-27
1032,2,CO-1032-2-988,49048,Scope change,2013-05-05
1032,2,CO-1032-2-610,24531,Scope change,2013-04-24
1032,3,CO-1032-3-770,16404,Scope change,2013-10-01
1032,3,CO-1032-3-322,12239,Unforeseen conditions,2013-09-30
1032,3,CO-1032-3-535,25200,Client request,2013-09-29
1033,3,CO-1033-3-841,33796,Client request,2001-08-07
1033,4,CO-1033-4-111,25726,Design revision,2001-10-24
1033,4,CO-1033-4-929,37680,Client request,2001-10-15
1033,5,CO-1033-5-340,45708,Design revision,2001-12-09
1034,1,CO-1034-1-968,28129,Design revision,2021-04-16
1034,2,CO-1034-2-756,33810,Unforeseen conditions,2021-08-03
1034,3,CO-1034-3-989,29857,Client request,2021-11-15
1035,1,CO-1035-1-973,17732,Scope change,2017-08-12
1035,3,CO-1035-3-191,26641,Scope change,2018-01-08
1035,3,CO-1035-3-101,26506,Client request,2017-12-28
1036,1,CO-1036-1-622,47800,Client request,2006-04-02
1036,5,CO-1036-5-246,17419,Design revision,2007-07-12
1037,2,CO-1037-2-960,33766,Client request,2013-12-27
1038,4,CO-1038-4-150,38433,Design revision,1999-12-21
1038,4,CO-1038-4-240,37320,Client request,1999-12-22
1038,5,CO-1038-5-135,12233,Design revision,2000-02-29
1038,5,CO-1038-5-649,39036,Design revision,2000-03-17
1039,3,CO-1039-3-758,48280,Scope change,2025-03-30
1039,5,CO-1039-5-873,46794,Unforeseen conditions,2025-09-21
1040,1,CO-1040-1-397,26072,Client request,2010-03-09
1040,1,CO-1040-1-278,33369,Design revision,2010-03-03
1040,2,CO-1040-2-904,14448,Design revision,2010-05-30
1041,3,CO-1041-3-969,35818,Client request,2001-02-17
1041,3,CO-1041-3-534,23772,Scope change,2001-03-04
1041,3,CO-1041-3-213,47270,Unforeseen conditions,2001-03-03
1041,4,CO-1041-4-933,40696,Design revision,2001-08-04
1041,5,CO-1041-5-653,13273,Client request,2002-01-01
1042,1,CO-1042-1-373,31868,Client request,2005-03-30
1042,1,CO-1042-1-620,46984,Unforeseen conditions,2005-04-10
1042,2,CO-1042-2-239,38044,Design revision,2005-06-14
1042,3,CO-1042-3-137,27735,Unforeseen conditions,2005-07-30
1042,3,CO-1042-3-396,38814,Client request,2005-08-10
1042,4,CO-1042-4-673,45383,Client request,2005-09-20
1042,4,CO-1042-4-373,11376,Client request,2005-09-17
1042,5,CO-1042-5-335,41458,Design revision,2005-10-31
1043,1,CO-1043-1-742,29862,Scope change,2008-11-02
1043,1,CO-1043-1-994,19338,Unforeseen conditions,2008-10-24
1043,2,CO-1043-2-385,24008,Design revision,2009-04-16
1043,5,CO-1043-5-692,43331,Client request,2010-05-09
1043,5,CO-1043-5-710,37253,Scope change,2010-05-12
1044,1,CO-1044-1-915,22807,Scope change,2021-11-21
1044,2,CO-1044-2-536,28383,Client request,2022-04-23
1044,2,CO-1044-2-956,11002,Design revision,2022-04-10
1045,2,CO-1045-2-471,24739,Unforeseen conditions,2009-06-03
1046,1,CO-1046-1-461,43555,Design revision,2022-09-04
1046,2,CO-1046-2-264,34645,Unforeseen conditions,2022-10-25
1046,3,CO-1046-3-240,13671,Design revision,2022-12-13
1046,3,CO-1046-3-127,17525,Unforeseen conditions,2022-12-14
1046,4,CO-1046-4-994,17507,Client request,2023-02-12
1046,5,CO-1046-5-767,18677,Client request,2023-05-02
1046,5,CO-1046-5-669,40000,Client request,2023-05-05
1047,1,CO-1047-1-761,43843,Unforeseen conditions,2000-08-16
1047,1,CO-1047-1-448,23664,Client request,2000-08-15
1047,3,CO-1047-3-881,41044,Design revision,2001-06-04
1047,3,CO-1047-3-447,29995,Design revision,2001-06-08
1047,3,CO-1047-3-665,37172,Client request,2001-05-23
1047,3,CO-1047-3-138,42627,Scope change,2001-06-03
1047,4,CO-1047-4-856,48804,Scope change,2001-11-01
1047,4,CO-1047-4-155,27260,Scope change,2001-10-31
1048,1,CO-1048-1-366,48743,Unforeseen conditions,2018-12-15
1048,1,CO-1048-1-940,18144,Scope change,2018-12-07
1048,1,CO-1048-1-477,11308,Client request,2018-12-13
1048,4,CO-1048-4-723,46213,Design revision,2019-12-08
1049,1,CO-1049-1-896,12674,Scope change,2006-07-16
1049,2,CO-1049-2-179,28224,Client request,2006-11-12
1049,2,CO-1049-2-774,49362,Unforeseen conditions,2006-11-04
1049,3,CO-1049-3-868,39254,Scope change,2007-03-30
1049,4,CO-1049-4-740,44976,Unforeseen conditions,2007-09-09
1049,4,CO-1049-4-820,26884,Design revision,2007-09-11
1049,4,CO-1049-4-358,35553,Client request,2007-09-09
1050,1,CO-1050-1-572,36577,Unforeseen conditions,2021-07-02
1050,2,CO-1050-2-721,10801,Unforeseen conditions,2021-12-03
1051,2,CO-1051-2-829,39314,Scope change,2007-08-01
1051,4,CO-1051-4-483,20317,Scope change,2007-11-18
1052,1,CO-1052-1-611,15876,Scope change,2019-11-26
1052,3,CO-1052-3-930,41753,Scope change,2020-07-26
1052,3,CO-1052-3-427,33157,Client request,2020-07-20
1052,3,CO-1052-3-748,26987,Scope change,2020-07-12
1052,4,CO-1052-4-655,21606,Design revision,2020-10-27
1053,1,CO-1053-1-960,33259,Design revision,2016-06-27
1053,5,CO-1053-5-624,28665,Unforeseen conditions,2017-10-14
1053,5,CO-1053-5-852,10891,Unforeseen conditions,2017-10-16
1053,5,CO-1053-5-269,46544,Unforeseen conditions,2017-10-11
1054,1,CO-1054-1-576,10721,Scope change,2006-04-10
1054,1,CO-1054-1-156,25360,Unforeseen conditions,2006-04-23
1054,2,CO-1054-2-826,33137,Design revision,2006-06-17
1054,2,CO-1054-2-904,14502,Unforeseen conditions,2006-06-22
1054,3,CO-1054-3-478,10384,Scope change,2006-08-24
1054,5,CO-1054-5-253,22262,Unforeseen conditions,2007-01-02
1054,5,CO-1054-5-951,20714,Scope change,2006-12-31
1055,2,CO-1055-2-190,38108,Client request,2007-02-07
1055,2,CO-1055-2-812,30977,Unforeseen conditions,2007-02-16
1055,4,CO-1055-4-236,16094,Design revision,2007-10-24
1056,1,CO-1056-1-537,16550,Design revision,2023-07-06
1056,3,CO-1056-3-353,17356,Scope change,2024-03-21
1056,3,CO-1056-3-430,35316,Unforeseen conditions,2024-03-20
1056,3,CO-1056-3-781,48182,Design revision,2024-03-20
1057,2,CO-1057-2-923,28371,Client request,2023-08-22
1057,2,CO-1057-2-455,31486,Scope change,2023-08-14
1057,4,CO-1057-4-227,48155,Client request,2024-04-04
1058,1,CO-1058-1-364,43022,Client request,2004-08-03
1058,1,CO-1058-1-802,14768,Unforeseen conditions,2004-08-10
1058,2,CO-1058-2-787,27824,Design revision,2004-11-05
1058,3,CO-1058-3-910,18887,Unforeseen conditions,2005-02-02
1058,3,CO-1058-3-614,32034,Design revision,2005-01-24
1058,3,CO-1058-3-168,24001,Design revision,2005-01-23
1058,4,CO-1058-4-714,45648,Design revision,2005-04-09
1058,5,CO-1058-5-221,38609,Unforeseen conditions,2005-06-09
1059,2,CO-1059-2-658,14577,Unforeseen conditions,2012-10-10
1059,3,CO-1059-3-173,33857,Design revision,2013-02-03
1059,3,CO-1059-3-773,26647,Design revision,2013-02-06
1059,5,CO-1059-5-633,46370,Design revision,2013-08-21
1060,2,CO-1060-2-225,48668,Unforeseen conditions,2025-02-14
1060,2,CO-1060-2-663,12460,Client request,2025-02-24
1060,3,CO-1060-3-694,35685,Design revision,2025-05-21
1060,5,CO-1060-5-369,35006,Client request,2026-01-03
1061,1,CO-1061-1-984,36656,Design revision,1999-12-11
1061,1,CO-1061-1-763,45249,Scope change,1999-12-07
1061,1,CO-1061-1-298,26342,Scope change,1999-12-14
1061,2,CO-1061-2-888,34401,Client request,2000-04-08
1061,4,CO-1061-4-114,44029,Client request,2001-01-17
1061,5,CO-1061-5-886,10626,Unforeseen conditions,2001-06-11
1062,2,CO-1062-2-724,12795,Unforeseen conditions,2011-08-21
1062,3,CO-1062-3-230,26804,Unforeseen conditions,2011-12-17
1062,3,CO-1062-3-419,46327,Client request,2011-12-09
1063,1,CO-1063-1-755,14516,Design revision,2015-10-14
1063,3,CO-1063-3-464,23473,Scope change,2016-03-19
1064,1,CO-1064-1-867,45089,Design revision,1999-02-20
1064,1,CO-1064-1-163,36249,Design revision,1999-02-17
1064,2,CO-1064-2-715,42155,Design revision,1999-05-18
1064,3,CO-1064-3-282,40595,Design revision,1999-08-30
1064,5,CO-1064-5-792,47563,Scope change,2000-01-14
1065,1,CO-1065-1-648,49295,Client request,1998-09-20
1065,1,CO-1065-1-176,40738,Unforeseen conditions,1998-09-08
1065,2,CO-1065-2-901,49584,Unforeseen conditions,1999-01-03
1065,4,CO-1065-4-379,37216,Unforeseen conditions,1999-09-15
1065,4,CO-1065-4-687,19148,Design revision,1999-09-01
1065,4,CO-1065-4-344,15680,Client request,1999-09-13
1066,1,CO-1066-1-395,32087,Client request,1999-06-17
1066,3,CO-1066-3-145,16776,Scope change,2000-02-23
1066,4,CO-1066-4-231,21085,Scope change,2000-05-31
1066,5,CO-1066-5-746,12990,Unforeseen conditions,2000-09-15
1066,5,CO-1066-5-768,14297,Scope change,2000-09-04
1066,5,CO-1066-5-510,18599,Client request,2000-09-07
1067,1,CO-1067-1-337,39641,Unforeseen conditions,2019-03-12
1067,2,CO-1067-2-592,40502,Design revision,2019-08-10
1067,4,CO-1067-4-508,15128,Design revision,2020-06-01
1068,1,CO-1068-1-771,48368,Unforeseen conditions,2004-07-12
1068,2,CO-1068-2-855,42349,Scope change,2004-10-24
1068,5,CO-1068-5-264,36908,Design revision,2005-09-30
1068,5,CO-1068-5-483,35587,Client request,2005-09-27
1069,1,CO-1069-1-566,37234,Client request,2022-12-30
1069,2,CO-1069-2-434,48069,Unforeseen conditions,2023-05-01
1070,4,CO-1070-4-711,37978,Unforeseen conditions,2023-07-08
1070,4,CO-1070-4-783,24861,Unforeseen conditions,2023-07-07
1070,4,CO-1070-4-610,22777,Unforeseen conditions,2023-07-02
1071,1,CO-1071-1-591,34020,Unforeseen conditions,2010-12-29
1071,2,CO-1071-2-289,19072,Design revision,2011-04-22
1071,4,CO-1071-4-957,45972,Scope change,2011-10-09
1071,5,CO-1071-5-725,20771,Design revision,2011-12-30
1071,5,CO-1071-5-537,40558,Client request,2012-01-04
1071,5,CO-1071-5-422,47413,Design revision,2011-12-25
1072,3,CO-1072-3-599,17133,Design revision,2005-03-08
1072,5,CO-1072-5-291,37948,Unforeseen conditions,2005-09-13
1073,2,CO-1073-2-788,48943,Design revision,2009-08-05
1074,1,CO-1074-1-659,21411,Unforeseen conditions,2006-04-25
1074,4,CO-1074-4-897,36351,Scope change,2006-09-05
1075,2,CO-1075-2-773,23490,Scope change,2014-01-09
1075,2,CO-1075-2-956,24295,Scope change,2014-01-20
1075,4,CO-1075-4-624,25004,Unforeseen conditions,2014-06-09
1076,1,CO-1076-1-557,16172,Client request,2000-08-30
1076,2,CO-1076-2-623,11350,Design revision,2001-02-16
1076,3,CO-1076-3-474,34460,Scope change,2001-06-30
1076,4,CO-1076-4-192,17667,Client request,2001-12-25
1076,5,CO-1076-5-743,43315,Unforeseen conditions,2002-04-27
1077,2,CO-1077-2-161,36613,Unforeseen conditions,2023-10-16
1078,1,CO-1078-1-739,18126,Scope change,2006-09-04
1078,3,CO-1078-3-162,24830,Design revision,2006-11-29
1078,4,CO-1078-4-991,12022,Scope change,2007-01-02
1079,2,CO-1079-2-603,30462,Client request,2000-09-28
1079,2,CO-1079-2-423,49789,Design revision,2000-10-07
1079,3,CO-1079-3-773,34272,Design revision,2001-02-17
1079,3,CO-1079-3-210,13045,Unforeseen conditions,2001-02-09
1080,1,CO-1080-1-254,11486,Unforeseen conditions,2017-04-11
1080,2,CO-1080-2-318,22583,Unforeseen conditions,2017-06-01
1080,3,CO-1080-3-714,11164,Client request,2017-07-23
1080,5,CO-1080-5-847,21591,Scope change,2017-12-13
1081,1,CO-1081-1-399,33015,Unforeseen conditions,2008-09-23
1081,2,CO-1081-2-229,49496,Scope change,2009-02-23
1081,2,CO-1081-2-480,34709,Unforeseen conditions,2009-02-25
1081,4,CO-1081-4-784,22490,Design revision,2010-01-01
1081,4,CO-1081-4-893,27194,Client request,2009-12-29
1081,5,CO-1081-5-912,18928,Scope change,2010-06-02
1082,1,CO-1082-1-941,48494,Design revision,1999-11-04
1082,1,CO-1082-1-294,38435,Scope change,1999-11-05
1082,2,CO-1082-2-696,15627,Scope change,2000-03-14
1082,2,CO-1082-2-500,39918,Unforeseen conditions,2000-03-14
1082,3,CO-1082-3-184,46016,Unforeseen conditions,2000-05-25
1082,4,CO-1082-4-632,10854,Unforeseen conditions,2000-08-31
1082,5,CO-1082-5-474,11226,Client request,2000-12-24
1083,1,CO-1083-1-927,38245,Design revision,2005-12-28
1083,3,CO-1083-3-524,24934,Unforeseen conditions,2006-07-23
1084,4,CO-1084-4-371,34588,Unforeseen conditions,2005-08-25
1085,4,CO-1085-4-957,29819,Client request,2005-12-30
1085,4,CO-1085-4-163,19267,Design revision,2005-12-24
1086,2,CO-1086-2-461,25344,Scope change,2022-11-29
1086,3,CO-1086-3-862,13987,Unforeseen conditions,2023-02-22
1086,4,CO-1086-4-482,37410,Client request,2023-04-28
1086,4,CO-1086-4-501,27044,Unforeseen conditions,2023-04-29
1086,5,CO-1086-5-228,16667,Scope change,2023-07-02
1087,1,CO-1087-1-984,12940,Scope change,2022-07-25
1088,1,CO-1088-1-992,15129,Scope change,2017-12-11
1088,2,CO-1088-2-754,31505,Client request,2018-03-11
1088,3,CO-1088-3-161,34563,Scope change,2018-06-25
1088,3,CO-1088-3-780,19830,Client request,2018-06-24
1088,5,CO-1088-5-753,36455,Client request,2019-02-19
1089,3,CO-1089-3-149,36003,Client request,2024-08-22
1089,5,CO-1089-5-745,18172,Unforeseen conditions,2025-05-10
1089,5,CO-1089-5-589,48435,Unforeseen conditions,2025-04-28
1089,5,CO-1089-5-688,29040,Unforeseen conditions,2025-05-10
1090,1,CO-1090-1-421,38058,Unforeseen conditions,2007-04-19
1090,2,CO-1090-2-237,27126,Unforeseen conditions,2007-06-15
1090,4,CO-1090-4-792,30226,Client request,2007-10-17
1090,4,CO-1090-4-516,33303,Client request,2007-10-04
1090,5,CO-1090-5-251,17204,Unforeseen conditions,2007-12-30
1091,1,CO-1091-1-701,22172,Scope change,2010-04-15
1091,2,CO-1091-2-122,35437,Unforeseen conditions,2010-07-29
1092,2,CO-1092-2-720,19935,Scope change,2001-02-09
1092,3,CO-1092-3-401,40263,Scope change,2001-04-15
1092,3,CO-1092-3-146,42253,Unforeseen conditions,2001-04-22
1092,4,CO-1092-4-317,17931,Client request,2001-07-28
1093,1,CO-1093-1-494,16439,Scope change,2021-06-18
1093,5,CO-1093-5-330,34349,Unforeseen conditions,2021-12-10
1094,2,CO-1094-2-624,30566,Unforeseen conditions,2015-01-24
1094,3,CO-1094-3-521,31991,Client request,2015-04-02
1094,4,CO-1094-4-260,46976,Design revision,2015-06-08
1094,5,CO-1094-5-716,28789,Scope change,2015-09-12
1094,5,CO-1094-5-200,36779,Client request,2015-09-07
1095,2,CO-1095-2-603,16187,Design revision,2010-03-25
1095,2,CO-1095-2-295,13846,Scope change,2010-03-28
1095,5,CO-1095-5-208,31686,Design revision,2011-05-07
1096,1,CO-1096-1-866,10951,Unforeseen conditions,1999-02-19
1096,3,CO-1096-3-388,20585,Scope change,1999-11-27
1097,3,CO-1097-3-618,12155,Unforeseen conditions,1997-05-24
1097,4,CO-1097-4-107,19920,Scope change,1997-07-18
1098,1,CO-1098-1-347,46890,Scope change,2003-05-18
1098,2,CO-1098-2-987,41653,Scope change,2003-09-25
1098,3,CO-1098-3-885,40276,Client request,2003-12-18
1098,3,CO-1098-3-514,39262,Client request,2003-12-15
1098,5,CO-1098-5-125,28979,Unforeseen conditions,2004-08-10
1099,2,CO-1099-2-449,41678,Scope change,2016-05-21
1099,3,CO-1099-3-246,40626,Client request,2016-09-14
1099,3,CO-1099-3-861,47795,Client request,2016-09-11
1099,4,CO-1099-4-950,29889,Unforeseen conditions,2017-01-30
1099,4,CO-1099-4-417,12796,Scope change,2017-01-28
1100,2,CO-1100-2-621,45215,Unforeseen conditions,2022-08-07
1100,4,CO-1100-4-996,35234,Unforeseen conditions,2023-04-10
1100,5,CO-1100-5-800,48002,Client request,2023-07-23
1101,2,CO-1101-2-806,34179,Scope change,2014-08-22
1101,4,CO-1101-4-988,45274,Unforeseen conditions,2014-12-14
1101,5,CO-1101-5-871,20142,Client request,2015-02-01
1102,5,CO-1102-5-756,15097,Design revision,2009-07-12
1103,2,CO-1103-2-858,33223,Client request,2008-11-27
1103,5,CO-1103-5-624,42836,Scope change,2010-01-22
1104,4,CO-1104-4-112,12605,Scope change,2008-08-17
1105,4,CO-1105-4-880,22380,Client request,2022-01-26
1105,4,CO-1105-4-242,15646,Client request,2022-01-27
1105,5,CO-1105-5-298,14347,Unforeseen conditions,2022-04-07
1106,1,CO-1106-1-304,26766,Scope change,2008-01-13
1106,1,CO-1106-1-456,43635,Scope change,2008-01-25
1106,2,CO-1106-2-838,37220,Client request,2008-06-19
1106,2,CO-1106-2-796,25578,Design revision,2008-06-13
1106,2,CO-1106-2-186,36271,Design revision,2008-06-19
1106,5,CO-1106-5-988,44122,Client request,2009-07-15
1107,1,CO-1107-1-529,12302,Unforeseen conditions,2012-10-26
1107,3,CO-1107-3-220,48844,Design revision,2013-07-08
1107,5,CO-1107-5-262,27408,Client request,2014-03-18
1108,4,CO-1108-4-702,34762,Scope change,2017-08-09
1108,5,CO-1108-5-280,20046,Unforeseen conditions,2017-10-20
1109,2,CO-1109-2-188,11020,Client request,2009-01-24
1109,5,CO-1109-5-246,12970,Scope change,2009-08-23
1110,2,CO-1110-2-748,45359,Scope change,2002-11-11
1111,2,CO-1111-2-814,27704,Client request,1998-01-30
1111,2,CO-1111-2-871,32051,Client request,1998-01-19
1111,5,CO-1111-5-756,23507,Scope change,1999-01-10
1112,1,CO-1112-1-404,12840,Scope change,2013-04-30
1112,2,CO-1112-2-291,49345,Client request,2013-09-11
1112,3,CO-1112-3-256,47253,Client request,2014-01-28
1112,3,CO-1112-3-438,11677,Unforeseen conditions,2014-02-13
1113,1,CO-1113-1-346,13622,Scope change,2013-08-22
1113,1,CO-1113-1-948,12244,Scope change,2013-08-15
1113,1,CO-1113-1-496,11339,Unforeseen conditions,2013-08-18
1113,2,CO-1113-2-675,15625,Design revision,2013-12-02
1113,3,CO-1113-3-959,19423,Scope change,2014-02-04
1113,3,CO-1113-3-863,12522,Unforeseen conditions,2014-02-16
1113,3,CO-1113-3-652,46367,Unforeseen conditions,2014-02-18
1113,3,CO-1113-3-501,17279,Scope change,2014-02-04
1113,5,CO-1113-5-748,35514,Scope change,2014-08-09
1113,5,CO-1113-5-542,48344,Client request,2014-08-23
1113,5,CO-1113-5-987,42735,Scope change,2014-08-22
1114,1,CO-1114-1-492,37950,Scope change,2002-04-04
1114,3,CO-1114-3-180,20898,Scope change,2002-10-24
1114,4,CO-1114-4-689,29042,Client request,2003-01-12
1114,4,CO-1114-4-278,16226,Unforeseen conditions,2003-01-10
1115,1,CO-1115-1-390,46678,Unforeseen conditions,2010-03-20
1115,2,CO-1115-2-494,12240,Design revision,2010-08-29
1115,2,CO-1115-2-623,34980,Client request,2010-08-22
1115,4,CO-1115-4-130,22359,Client request,2011-06-21
1115,5,CO-1115-5-120,33216,Unforeseen conditions,2011-10-18
1115,5,CO-1115-5-470,28188,Unforeseen conditions,2011-10-28
1116,2,CO-1116-2-831,26120,Unforeseen conditions,2009-02-09
1116,2,CO-1116-2-817,40358,Scope change,2009-01-31
1116,3,CO-1116-3-829,18561,Design revision,2009-06-11
1116,4,CO-1116-4-716,16525,Client request,2009-10-06
1116,4,CO-1116-4-332,20908,Scope change,2009-09-28
1117,1,CO-1117-1-207,33376,Client request,2016-01-17
1117,3,CO-1117-3-202,16495,Scope change,2016-09-07
1118,1,CO-1118-1-599,33603,Scope change,2017-04-17
1118,2,CO-1118-2-677,34833,Client request,2017-07-14
1118,2,CO-1118-2-348,30882,Unforeseen conditions,2017-07-16
1119,1,CO-1119-1-983,17252,Scope change,2014-03-11
1119,5,CO-1119-5-792,22876,Client request,2015-03-13
1119,5,CO-1119-5-852,47049,Client request,2015-03-19
1120,2,CO-1120-2-761,32892,Scope change,2018-04-13
1120,5,CO-1120-5-102,12004,Design revision,2019-08-05
1120,5,CO-1120-5-968,39011,Scope change,2019-07-17
1121,3,CO-1121-3-974,42657,Client request,2009-03-18
1122,1,CO-1122-1-932,39645,Scope change,2022-03-02
1122,1,CO-1122-1-912,27077,Design revision,2022-02-22
1123,1,CO-1123-1-740,36110,Design revision,2014-03-04
1123,3,CO-1123-3-801,24116,Design revision,2014-07-05
1123,5,CO-1123-5-301,13386,Client request,2014-10-25
1124,1,CO-1124-1-539,36552,Unforeseen conditions,2021-06-11
1124,1,CO-1124-1-888,43716,Unforeseen conditions,2021-06-11
